age,s,female,male,ethblack,ethhisp,wexp,married,sf,sm,siblings,earnings,asvab02,asvab03,learnings,wexpsq
45,12,0,1,0,0,23.40385056,1,8,8,7,12.43999958,46,54,2.520917054,547.7402344
40,12,0,1,0,1,8.903845787,0,5,5,3,8,39,29,2.079441542,79.2784729
41,10,0,1,0,0,15.61538982,0,9,12,5,13.5,38,33,2.602689685,243.8403931
40,16,0,1,0,0,18.32691956,0,16,12,7,11.92000008,66,60,2.478217668,335.8759766
39,12,0,1,0,0,18.53845978,1,13,13,5,25.5,54,51,3.238678452,343.6744995
45,12,0,1,0,0,20.82691956,1,12,12,4,27.77000046,62,60,3.323956318,433.7605896
41,16,0,1,0,0,17.55768967,0,12,12,2,13,62,61,2.564949357,308.2724609
39,12,0,1,0,0,18.61539078,1,12,10,1,20.10000038,61,59,3.000719834,346.5327759
37,12,0,1,1,0,17.34614944,1,10,11,6,9.800000191,38,33,2.282382405,300.8888855
38,16,0,1,0,0,17.36539078,1,12,12,4,22.43000031,66,60,3.110399362,301.5567932
44,12,0,1,1,0,22.38460922,0,10,9,3,10.56000042,34,39,2.357073318,501.0707397
39,9,0,1,0,0,21.82691956,1,10,9,3,16.36000061,36,29,2.794839368,476.4144287
45,8,0,1,0,0,22.44231033,0,3,6,1,12.30000019,54,31,2.509599278,503.6572876
41,16,0,1,0,0,18.44231033,1,14,12,1,23.06999969,61,54,3.138533059,340.1188049
39,12,0,1,1,0,19.53845978,1,11,10,3,13.72999954,35,29,2.619583186,381.7514038
41,12,0,1,0,0,19.63460922,1,12,12,3,58.59999847,58,55,4.070734671,385.5178833
42,12,0,1,0,0,21.65385056,0,12,12,3,12,51,43,2.48490665,468.8892517
39,12,0,1,0,0,20.61539078,1,12,14,1,10,49,59,2.302585093,424.9943237
45,9,0,1,0,0,20.48077011,1,6,8,8,9.850000381,43,43,2.287471494,419.4619446
40,12,0,1,0,0,20.61539078,1,12,11,4,12,57,54,2.48490665,424.9943237
45,11,0,1,0,0,21.01922989,0,12,12,1,13.5,39,56,2.602689685,441.8080139
38,16,0,1,0,0,12.03845978,1,12,16,6,56,58,60,4.025351691,144.9245148
39,19,0,1,0,0,8.230769157,1,11,14,2,32.68999863,66,60,3.487069179,67.74555969
39,16,0,1,0,1,15.28845978,1,3,11,4,14.23999977,50,50,2.65605489,233.7369995
37,12,0,1,1,0,19.26922989,1,10,10,3,20,42,39,2.995732274,371.3032227
39,18,0,1,0,0,14.13461018,1,13,16,2,39.31000137,58,56,3.671478974,199.7872009
43,12,0,1,0,0,23.36539078,1,8,12,3,36.31999969,65,57,3.592368545,545.9414673
44,12,0,1,0,0,23.13460922,1,11,12,1,21.62999916,50,54,3.074081201,535.210144
38,18,0,1,0,0,9.67307663,0,16,13,3,31.25,51,54,3.442019376,93.56841278
43,12,0,1,1,0,21.76922989,0,10,12,2,9.159999847,47,46,2.214846162,473.8993835
43,12,0,1,0,0,22.96154022,1,12,12,2,27.79999924,59,56,3.325035993,527.2322998
40,12,0,1,1,0,21.11539078,0,12,10,3,17.95000076,36,28,2.887590157,445.8597412
41,12,0,1,0,0,13.17308044,0,14,12,3,12.5,53,48,2.525728644,173.5300446
39,16,0,1,0,0,14.46154022,1,13,12,2,16.14999962,66,55,2.781920026,209.1361389
42,15,0,1,0,0,12.96154022,1,14,16,2,2.5,61,59,0.916290732,168.0015259
40,16,0,1,0,0,17.07691956,1,9,11,2,20.73999977,51,56,3.032064192,291.6211853
37,12,0,1,0,0,15.23077011,0,2,8,12,12,38,26,2.48490665,231.9763641
44,19,0,1,0,0,18.94231033,1,16,16,2,47,66,61,3.850147602,358.8111267
43,13,0,1,0,0,20.26922989,1,1,3,8,20.5,43,42,3.020424886,410.8416748
39,16,0,1,0,0,17.40385056,1,16,14,4,33.75999832,66,59,3.51927662,302.8940125
44,16,0,1,0,0,21.28845978,1,12,12,1,42.59000015,51,54,3.751619488,453.1985168
38,12,0,1,0,1,19.75,1,8,8,7,20,36,42,2.995732274,390.0625
41,18,0,1,0,0,16.76922989,1,17,16,3,71.22000122,65,59,4.265773695,281.2070618
44,19,0,1,0,0,17.96154022,1,18,16,1,47,54,60,3.850147602,322.6169128
40,12,0,1,0,0,17.75,1,6,10,4,25,38,33,3.218875825,315.0625
45,12,0,1,0,0,19,1,11,9,3,29.79999924,54,55,3.394508368,361
44,12,0,1,1,0,19.28845978,0,7,10,2,4.460000038,38,33,1.495148775,372.0446777
44,16,0,1,0,0,19.84614944,1,13,12,3,26.04000092,45,60,3.259633852,393.8696594
41,12,0,1,0,0,22.78845978,1,8,12,1,13.27000046,53,50,2.585505883,519.3139038
44,17,0,1,0,0,17.11539078,1,12,12,2,18,65,61,2.890371758,292.936615
42,9,0,1,0,0,22.07691956,0,13,15,5,18.26000023,55,60,2.904712888,487.3903809
37,12,0,1,0,0,13.88461018,1,11,12,3,9.25,59,42,2.224623552,192.7823944
38,14,0,1,0,1,15.01922989,1,12,12,2,23.06999969,46,56,3.138533059,225.5772705
45,14,0,1,0,0,22.11539078,1,7,4,5,21.89999962,61,60,3.086486619,489.0905151
40,12,0,1,0,0,21.67308044,1,12,12,3,13.39999962,47,41,2.595254678,469.7224121
37,16,0,1,0,0,13.13461018,1,16,16,2,15,45,54,2.708050201,172.5179901
43,17,0,1,0,0,19.01922989,1,16,14,3,30,54,56,3.401197382,361.7311096
39,12,0,1,0,0,20.65385056,1,9,10,6,12.53999996,47,35,2.528923532,426.581543
44,13,0,1,0,0,22.07691956,0,16,12,2,113.9599991,66,61,4.735847502,487.3903809
38,15,0,1,0,0,10.9038496,1,15,12,1,39.52999878,57,60,3.677059846,118.8939362
39,14,0,1,0,0,15.55768967,1,6,6,4,14.21000004,57,51,2.653945945,242.0417023
40,12,0,1,0,0,18.23077011,1,12,10,2,16,35,52,2.772588722,332.3609924
43,15,0,1,1,0,17.90385056,1,12,15,1,11.35999966,50,59,2.430098383,320.5478516
41,12,0,1,0,0,21.92308044,0,8,8,4,14.63000011,55,37,2.683074223,480.62146
38,13,0,1,0,0,9.269230843,1,16,12,2,38.88000107,53,48,3.660480007,85.91864014
44,12,0,1,0,0,20.23077011,1,12,12,5,16.61000061,55,47,2.81000496,409.2840576
38,10,0,1,1,0,5.75,0,10,12,3,4.360000134,35,38,1.472472088,33.0625
39,13,0,1,1,0,19.23077011,1,12,12,3,14,40,41,2.63905733,369.8225098
44,13,0,1,0,0,22.13460922,0,11,11,2,28.84000015,66,61,3.361763318,489.940918
38,16,0,1,0,0,11.78845978,1,10,12,1,32.04999924,55,59,3.46729716,138.9677887
40,12,0,1,0,0,19.36539078,1,12,11,2,25.89999962,51,57,3.254242954,375.0183716
43,16,0,1,0,0,21.46154022,1,18,12,0,86.52999878,61,57,4.460491161,460.5977173
41,14,0,1,0,0,19.51922989,1,9,10,3,18.18000031,40,52,2.900322106,381.0003357
38,12,0,1,0,0,19.90385056,1,8,11,0,14.19999981,53,44,2.653241951,396.163269
40,16,0,1,0,0,14.88461018,0,16,12,1,69.76000214,50,59,4.24506081,221.5516205
38,12,0,1,1,0,7.25,1,11,8,2,8.119999886,42,35,2.09433014,52.5625
44,14,0,1,0,0,18.26922989,1,10,10,4,23.04000092,64,52,3.137231876,333.7647705
42,12,0,1,0,0,23.30768967,1,12,12,6,19.45999908,57,57,2.96836103,543.2484131
39,17,0,1,0,0,10,1,16,16,2,36.04999924,66,57,3.584906843,100
43,12,0,1,1,0,20.38460922,0,12,8,2,15,36,59,2.708050201,415.5322876
43,11,0,1,0,0,20.88460922,0,12,11,6,14.10000038,53,51,2.646174824,436.1669006
41,12,0,1,0,0,14.42308044,0,10,12,1,9,42,56,2.197224577,208.0252533
39,12,0,1,0,0,20.51922989,1,12,12,5,21.62999916,42,51,3.074081201,421.0387878
38,12,0,1,0,0,10.6538496,1,9,13,1,16.02000046,49,42,2.77383797,113.504509
40,12,0,1,0,0,18.53845978,1,12,12,3,13.67000008,53,48,2.615203656,343.6744995
43,14,0,1,0,0,21.48077011,0,14,16,2,26.44000053,59,59,3.274878035,461.4234924
40,12,0,1,0,0,19.05768967,1,11,12,5,18.95999908,51,46,2.942331449,363.1955261
45,12,0,1,0,0,22.88460922,1,12,10,6,24.94000053,64,56,3.216472962,523.7053223
42,12,0,1,0,0,22.5,1,12,11,3,19.22999954,65,59,2.956471536,506.25
39,13,0,1,0,0,16.53845978,1,9,8,3,13.75,47,52,2.621038824,273.5206604
37,14,0,1,0,0,10.01922989,0,16,13,2,5.25,57,48,1.658228077,100.384964
45,16,0,1,0,0,23.21154022,1,12,12,2,123.9300003,64,60,4.819716893,538.7755737
44,19,0,1,0,0,15.5,1,16,15,5,39.81000137,65,59,3.684118172,240.25
39,18,0,1,0,0,14.19231033,1,20,16,2,113.1200027,66,61,4.728449226,201.4216766
41,12,0,1,0,0,13.88461018,1,18,12,1,11.42000008,50,41,2.435366211,192.7823944
44,12,0,1,0,0,16.90385056,1,12,12,3,7.5,47,52,2.014903021,285.7401733
44,9,0,1,0,0,15.78845978,1,7,12,11,9.850000381,42,34,2.287471494,249.2754669
41,12,0,1,0,1,14.69231033,1,6,9,7,10.75,38,46,2.374905755,215.8639832
38,14,0,1,0,0,17.42308044,1,16,12,1,16.81999969,43,55,2.822568636,303.5637207
40,12,0,1,0,0,21.03845978,1,16,8,3,16.62000084,57,47,2.81060684,442.6167908
41,14,0,1,0,0,20.44231033,1,13,15,2,24.03000069,64,60,3.179303078,417.8880615
39,12,0,1,1,0,17.67308044,0,10,16,3,12,51,52,2.48490665,312.3377686
41,12,0,1,0,1,19.65385056,1,12,8,5,16,46,44,2.772588722,386.2738342
39,14,0,1,0,0,18.28845978,1,12,12,2,17.29999924,49,48,2.850706457,334.4677734
43,12,0,1,0,0,22.82691956,1,12,12,3,26.44000053,59,60,3.274878035,521.0682373
40,12,0,1,0,0,17.26922989,0,12,6,2,11.15999985,35,34,2.412335943,298.2262878
40,12,0,1,1,0,20.44231033,1,7,10,2,12,31,44,2.48490665,417.8880615
40,12,0,1,0,0,17.26922989,1,16,16,3,15.5,47,48,2.740840024,298.2262878
40,17,0,1,0,0,15.19231033,0,16,12,6,22.43000031,61,60,3.110399362,230.8062897
38,12,0,1,0,0,10.75,1,4,6,1,12.72000027,42,29,2.543175579,115.5625
39,20,0,1,0,1,7.423077106,0,12,12,1,19.57999992,61,57,2.974508633,55.10207367
40,16,0,1,0,0,18.42308044,1,12,12,2,23.70000076,62,56,3.16547508,339.4098816
41,12,0,1,1,0,9.519230843,0,6,6,10,5.150000095,47,39,1.638996733,90.61575317
38,12,0,1,1,0,17.26922989,0,9,6,9,10.67000008,38,41,2.367436072,298.2262878
41,13,0,1,0,0,16.94231033,1,14,12,2,11.25,53,51,2.420368129,287.0418701
37,13,0,1,0,0,19.03845978,1,12,12,4,11.61999989,51,41,2.452727742,362.4629517
39,16,0,1,0,0,16,1,12,13,2,26.48999977,50,55,3.276767295,256
37,14,0,1,0,0,10.94231033,1,12,11,2,15.61999989,57,55,2.748552137,119.7341537
40,18,0,1,0,0,8.75,0,8,12,2,15.5,66,60,2.740840024,76.5625
40,12,0,1,0,0,21.84614944,1,12,10,0,32.5,54,52,3.481240089,477.2542419
38,12,0,1,0,0,20.01922989,1,12,12,2,36.91999817,38,37,3.60875336,400.7695618
39,18,0,1,0,0,7.019230843,1,15,12,2,21.92000008,49,56,3.087399466,49.26959991
42,12,0,1,0,0,23.07691956,1,12,12,2,10.5,57,48,2.351375257,532.5441895
43,13,0,1,0,0,20.80768967,1,12,10,5,20.68000031,65,56,3.029167064,432.9599609
44,20,0,1,0,0,18.13460922,1,16,14,3,55.93999863,62,60,4.024279663,328.8640442
37,16,0,1,0,0,15.98077011,1,18,12,2,31.86000061,45,47,3.461351324,255.3850098
40,17,0,1,0,0,15.88461018,1,18,16,2,16.92000008,64,59,2.828496359,252.3208466
43,14,0,1,0,0,17.88460922,1,6,13,2,18,54,59,2.890371758,319.8592529
37,12,0,1,0,0,18.71154022,1,10,9,2,15.38000011,35,28,2.733067972,350.1217346
41,14,0,1,0,0,20.38460922,1,18,12,3,23.06999969,61,60,3.138533059,415.5322876
40,13,0,1,0,0,21.69231033,0,14,12,1,30,46,52,3.401197382,470.5563354
41,13,0,1,0,1,18.07691956,0,4,6,1,12,42,50,2.48490665,326.7750244
41,15,0,1,0,0,11.98077011,1,14,14,3,32.68999863,57,54,3.487069179,143.5388489
45,13,0,1,0,0,22.07691956,0,10,12,1,21.36000061,61,57,3.061520043,487.3903809
44,14,0,1,0,0,22.75,1,14,16,2,34,46,52,3.526360525,517.5625
43,15,0,1,0,0,14.44231033,1,14,18,1,13.89999962,61,57,2.631888813,208.5803223
43,9,0,1,0,0,10.96154022,1,4,7,3,8,35,35,2.079441542,120.155365
38,12,0,1,0,0,17.65385056,0,16,12,5,13,61,52,2.564949357,311.6584473
40,18,0,1,0,0,11.86538982,0,12,12,1,50.15999985,65,61,3.915217893,140.7874756
45,17,0,1,0,0,22.26922989,1,17,17,2,40,64,61,3.688879454,495.9186096
45,18,0,1,0,0,6.25,1,12,12,2,17.44000053,59,60,2.858766449,39.0625
44,14,0,1,0,0,20.65385056,1,10,12,0,8.5,42,54,2.140066163,426.581543
44,18,0,1,0,0,19.98077011,1,17,16,2,16.65999985,66,56,2.813010628,399.2311707
38,13,0,1,0,0,11.13461018,1,12,12,8,14.46000004,62,57,2.671386219,123.9795456
43,14,0,1,0,0,16.55768967,0,12,12,1,8.819999695,40,51,2.177021835,274.157074
38,18,0,1,0,0,13.94231033,1,8,8,6,64.09999847,65,61,4.16044434,194.3880157
38,12,0,1,0,0,12.48077011,0,8,12,2,5.150000095,65,61,1.638996733,155.7696228
37,16,0,1,0,0,16.63460922,1,16,14,2,34.52000046,54,54,3.541538879,276.7102356
39,12,0,1,0,0,13.67308044,1,9,8,3,15.63000011,35,33,2.749192152,186.953125
42,12,0,1,0,0,23.34614944,1,12,12,2,17.17000008,58,52,2.843163679,545.0426636
45,13,0,1,0,1,15.61538982,0,0,2,6,12.97999954,45,38,2.563409676,243.8403931
40,12,0,1,0,0,21.61539078,1,12,12,3,11.27000046,42,46,2.422144369,467.2251282
40,12,0,1,0,0,19.90385056,1,12,12,1,15,40,38,2.708050201,396.163269
41,16,0,1,0,0,18.98077011,1,16,14,2,20.76000023,64,59,3.033028069,360.2696228
42,12,0,1,0,0,3.019231081,1,12,9,3,17.29999924,49,37,2.850706457,9.115756035
43,10,0,1,0,0,22.98077011,1,7,9,3,19.22999954,53,52,2.956471536,528.1157837
42,13,0,1,1,0,21.48077011,0,8,12,3,24,38,42,3.17805383,461.4234924
40,12,0,1,0,0,21.15385056,1,12,12,2,17.52000046,54,59,2.863343112,447.4853821
41,12,0,1,0,0,19.84614944,0,12,7,0,26.21999931,36,44,3.266522452,393.8696594
41,16,0,1,0,0,18.34614944,0,11,12,2,58,65,61,4.060443011,336.5812073
41,12,0,1,0,0,20.69231033,0,12,12,2,14.89000034,47,50,2.70068987,428.1716919
43,12,0,1,0,0,23.11539078,1,11,11,4,20.76000023,59,56,3.033028069,534.3212891
40,14,0,1,0,0,17.57691956,0,12,12,5,6.75,58,57,1.909542505,308.9480896
41,16,0,1,0,0,19.11539078,1,9,12,1,32.04999924,66,61,3.46729716,365.3981628
38,12,0,1,0,1,9.788461685,0,12,16,3,4,39,44,1.386294361,95.8139801
41,16,0,1,0,0,18.57691956,1,14,12,2,34.61000061,64,56,3.544142675,345.1019287
40,12,0,1,0,0,23.25,0,10,11,1,8.119999886,42,55,2.09433014,540.5625
44,12,0,1,0,0,22.13460922,0,12,12,4,23,45,50,3.135494216,489.940918
42,20,0,1,0,0,11.48077011,0,6,19,3,35.56999969,65,59,3.571502577,131.808075
40,12,0,1,0,0,16.76922989,1,12,12,5,9.949999809,58,61,2.297572532,281.2070618
39,12,0,1,0,0,20.17308044,0,12,12,6,15,38,41,2.708050201,406.953186
40,12,0,1,0,0,22.38460922,1,12,12,1,19.02000046,55,51,2.945491081,501.0707397
40,15,0,1,0,0,20.15385056,1,12,10,3,36.70999908,46,54,3.603049173,406.1777039
38,16,0,1,0,0,13.30768967,1,16,12,3,20.14999962,53,57,3.003204269,177.0946045
44,11,0,1,1,0,6.730769157,0,6,12,7,6.150000095,39,28,1.816452097,45.30325317
41,12,0,1,0,0,22.63460922,1,12,12,7,25.62000084,64,57,3.243373329,512.3255615
38,12,0,1,0,0,19.59614944,1,12,12,4,15.60000038,35,44,2.747270939,384.0090637
45,12,0,1,0,0,23.19231033,1,12,12,4,40.06000137,62,48,3.690378365,537.8832397
41,12,0,1,0,0,21.76922989,0,11,12,0,16,40,48,2.772588722,473.8993835
39,12,0,1,0,0,20.82691956,1,6,12,0,17.85000038,42,39,2.88200353,433.7605896
43,12,0,1,0,0,23.03845978,1,12,11,2,12.01000023,64,52,2.485739655,530.7706299
41,16,0,1,0,0,17.38460922,1,18,15,1,34.61000061,59,48,3.544142675,302.2246399
44,12,0,1,0,0,22.63460922,1,11,10,1,11.31999969,54,51,2.426571046,512.3255615
42,18,0,1,0,0,20.61539078,1,13,12,4,64.90000153,55,61,4.172847647,424.9943237
38,12,0,1,0,0,18.21154022,0,19,12,2,38.45999908,65,61,3.649618716,331.6601868
41,12,0,1,0,0,22.98077011,0,12,12,6,26.81999969,61,52,3.289147866,528.1157837
44,14,0,1,0,0,19.57691956,1,10,12,2,21.14999962,62,60,3.051639887,383.2557678
41,9,0,1,0,0,20.44231033,1,9,9,4,17.12000084,38,33,2.84024742,417.8880615
44,13,0,1,0,0,22.53845978,1,12,10,9,28.79999924,62,59,3.360375361,507.9821777
41,18,0,1,0,0,16.96154022,1,8,12,4,20,62,43,2.995732274,287.6938477
43,16,0,1,0,1,22.19231033,1,12,9,4,30.28000069,64,59,3.410487451,492.4986267
44,16,0,1,0,0,19.01922989,0,12,12,1,54.27000046,58,56,3.993971597,361.7311096
40,12,0,1,0,0,20.80768967,1,12,12,6,17.54000092,64,54,2.864484039,432.9599609
44,11,0,1,1,0,21.51922989,1,9,6,9,6.96999979,30,37,1.941615195,463.07724
43,14,0,1,0,1,19.26922989,0,5,6,7,12.19999981,54,59,2.501435936,371.3032227
41,16,0,1,0,0,15.32691956,1,16,16,3,29.79999924,64,43,3.394508368,234.9144592
39,19,0,1,0,0,13.67308044,1,12,10,2,48.06999969,66,59,3.872658276,186.953125
45,13,0,1,0,0,21.92308044,1,15,12,2,29.61000061,65,59,3.388112163,480.62146
43,14,0,1,0,0,23.21154022,1,17,14,3,30.27000046,64,61,3.410157138,538.7755737
38,16,0,1,0,0,12.92308044,1,16,12,2,26.51000023,58,59,3.277522029,167.006012
40,12,0,1,0,0,22.09614944,1,12,12,2,50,64,54,3.912023005,488.2398071
44,19,0,1,0,0,1.788462043,1,16,14,3,37.11000061,65,60,3.613886492,3.198596478
39,11,0,1,0,0,16.17308044,1,14,12,2,10,35,21,2.302585093,261.5685425
39,12,0,1,0,0,19.90385056,1,14,12,3,16.15999985,43,37,2.782539044,396.163269
41,14,0,1,0,0,20.19231033,1,12,12,2,55.54999924,61,61,4.017283502,407.7294006
43,11,0,1,1,0,9.153845787,0,11,11,7,8.75,34,22,2.1690537,83.79289246
42,15,0,1,0,0,16.69231033,1,18,13,2,26,61,60,3.258096538,278.6332092
39,12,0,1,0,0,20.82691956,1,16,12,6,15.72999954,62,52,2.755569688,433.7605896
39,9,0,1,1,0,19.78845978,0,16,11,3,7,36,35,1.945910149,391.5831299
39,14,0,1,0,0,14.30768967,0,12,12,4,8.539999962,62,60,2.144761003,204.7099762
39,14,0,1,0,0,18.96154022,1,12,12,1,56.91999817,42,52,4.041646741,359.5400085
37,12,0,1,0,0,17.44231033,1,8,13,2,26.5,65,54,3.277144733,304.2341919
44,12,0,1,1,0,20.63460922,0,5,10,6,8.81000042,38,31,2.175887488,425.7871094
38,16,0,1,0,0,11.96154022,1,20,12,1,31,54,56,3.433987204,143.0784454
40,12,0,1,0,0,20.40385056,1,14,16,4,18.53000069,59,57,2.919391077,416.3171082
43,12,0,1,0,0,21.71154022,0,16,12,1,25,61,59,3.218875825,471.3909912
39,16,0,1,0,0,16.90385056,0,14,12,2,44.70999908,57,44,3.80019717,285.7401733
41,12,0,1,0,1,20.13460922,1,2,6,6,7.5,42,38,2.014903021,405.4024963
42,12,0,1,0,0,22.07691956,0,12,12,3,15.10999966,43,44,2.715356754,487.3903809
42,12,0,1,0,0,20.07691956,1,17,17,1,21.37000084,42,42,3.061988109,403.0827026
38,13,1,0,1,0,17.48077011,0,9,14,3,8.430000305,39,44,2.131796808,305.5773315
41,10,1,0,0,0,16.23077011,0,10,10,1,7,46,50,1.945910149,263.4378967
41,10,1,0,0,0,11.42308044,0,1,1,3,7.139999866,43,43,1.965712758,130.4867706
38,16,1,0,0,0,15.96154022,1,12,11,3,41.86000061,46,50,3.734330732,254.7707672
44,12,1,0,0,0,19.09614944,0,20,12,2,10.5,42,51,2.351375257,364.6629333
37,12,1,0,0,0,18.76922989,1,12,12,5,31.38999939,49,34,3.446489351,352.2839966
45,12,1,0,0,0,15.32691956,0,12,12,3,5.650000095,53,60,1.731655562,234.9144592
43,13,1,0,0,0,17.84614944,1,10,12,4,9,49,60,2.197224577,318.4850464
40,19,1,0,0,0,6.769230843,1,16,16,2,8.699999809,62,55,2.163323004,45.82248688
40,10,1,0,0,0,14.01922989,0,8,12,4,14,36,42,2.63905733,196.5388031
44,12,1,0,0,0,11.5961504,1,9,12,3,18.75,43,48,2.931193752,134.4707031
39,12,1,0,1,0,7.307693005,1,12,12,4,6.25,36,34,1.832581464,53.40237808
39,12,1,0,1,0,10.86538982,1,4,7,11,8,36,25,2.079441542,118.056694
43,13,1,0,0,0,22.90385056,0,10,12,2,9,40,50,2.197224577,524.5863647
44,16,1,0,0,0,19.51922989,1,16,16,0,15,59,61,2.708050201,381.0003357
43,16,1,0,0,0,14.57691956,1,18,15,5,9,46,59,2.197224577,212.4865875
40,12,1,0,0,0,21.61539078,0,8,9,3,14.75,61,57,2.691243083,467.2251282
44,13,1,0,0,0,12.78845978,1,12,12,5,6,51,54,1.791759469,163.5447083
43,15,1,0,0,0,16.94231033,0,12,13,2,8,64,59,2.079441542,287.0418701
37,18,1,0,0,0,11.48077011,1,18,14,1,11,54,59,2.397895273,131.808075
38,12,1,0,0,0,17.65385056,1,12,12,2,20,50,54,2.995732274,311.6584473
41,16,1,0,0,0,16.07691956,1,13,12,4,26.15999985,38,46,3.264231521,258.4673462
41,16,1,0,0,0,16.76922989,0,16,14,3,10.93000031,54,54,2.39151133,281.2070618
38,16,1,0,0,0,14.36538982,1,5,11,2,21.70000076,58,46,3.077312296,206.3644257
42,12,1,0,0,0,19.42308044,0,16,16,3,17.36000061,51,56,2.854168744,377.2560425
44,15,1,0,1,0,9.384614944,0,12,12,9,6.730000019,32,46,1.906575146,88.07099915
41,16,1,0,0,0,18,0,10,12,2,39.65999985,65,61,3.680343119,324
39,12,1,0,1,0,6.115385056,0,11,11,13,7.849999905,34,31,2.06051352,37.39793396
40,13,1,0,1,0,13.5,0,14,10,1,15.57999992,38,39,2.745988036,182.25
45,12,1,0,0,0,21,0,12,12,6,17.70999908,39,52,2.8741294,441
39,13,1,0,0,0,20.19231033,1,16,12,6,20.54000092,46,44,3.022374249,407.7294006
40,14,1,0,1,0,20.40385056,1,12,12,3,20.87000084,39,38,3.038312761,416.3171082
44,12,1,0,0,0,16.80768967,1,3,8,7,10,47,43,2.302585093,282.4984436
40,0,1,0,0,1,8.788461685,1,3,3,12,4.840000153,36,25,1.576914752,77.23706055
37,10,1,0,0,0,2.076922894,1,8,13,2,6.25,46,46,1.832581464,4.313608646
41,16,1,0,0,0,11.5961504,0,12,12,9,5.150000095,43,52,1.638996733,134.4707031
41,12,1,0,0,1,23.28845978,1,3,5,6,14,53,50,2.63905733,542.352356
41,15,1,0,1,0,5.673077106,0,12,12,3,9.75,34,56,2.277267285,32.18380356
