"participation","income","age","educ","youngkids","oldkids","foreign","agesq"
1,36.0717756292174,35,4,0,2,0,1225
1,45.1872388666601,31,10,1,1,0,961
0,83.8588242302648,61,12,0,0,0,3721
1,49.7479233496524,55,10,0,1,0,3025
0,30.2250098085281,20,9,1,0,0,400
0,65.9499236203511,31,15,1,0,0,961
1,35.3442146921286,35,9,0,2,0,1225
0,39.6626810243684,55,8,0,0,0,3025
0,107.442489285018,35,11,1,2,0,1225
0,40.9039944059761,44,17,0,4,0,1936
1,36.9592783351178,56,9,0,0,0,3136
0,50.2911300709381,34,10,0,2,0,1156
1,54.7179451769212,43,8,0,0,0,1849
1,31.6842502860797,24,12,0,0,0,576
1,15.4621131841032,54,8,0,0,0,2916
0,25.7728785757922,34,8,0,4,0,1156
1,29.1386864057169,52,7,0,2,0,2704
0,38.9911119335857,34,8,1,3,0,1156
0,47.2645111472745,21,9,2,0,0,441
1,37.8314482498888,34,10,0,0,0,1156
0,42.3860679017262,22,9,1,0,0,484
0,51.6516799669276,36,8,0,3,0,1296
0,29.3078301524302,32,10,1,3,0,1024
0,84.0308271178928,44,13,0,4,0,1936
1,75.7984406864497,49,12,0,2,0,2401
0,35.3022506966232,49,14,0,2,0,2401
0,48.3980111539552,45,10,0,3,0,2025
0,40.1333926027353,28,10,1,1,0,784
0,29.1664104771953,36,8,0,3,0,1296
0,51.0597094288098,50,8,0,2,0,2500
0,63.1019530680259,48,8,0,5,0,2304
0,42.3337534187101,45,7,0,2,0,2025
0,30.8985334316317,62,7,0,0,0,3844
0,44.7207107035353,33,12,2,0,0,1089
1,31.2006435441526,48,8,0,0,0,2304
1,61.1589810802578,38,10,0,3,0,1444
1,40.372575129125,46,7,0,1,0,2116
1,42.171883069991,38,10,0,1,0,1444
1,32.4320691226618,56,7,0,0,0,3136
1,46.2200515894814,39,13,0,3,0,1521
0,37.8376152785527,28,10,2,0,0,784
0,64.9283088875436,46,10,0,3,0,2116
1,47.6244231490623,27,10,0,0,0,729
0,216.629976579409,58,12,0,0,0,3364
0,47.9715785029922,27,12,2,0,0,729
0,43.0312553827335,52,10,0,0,0,2704
1,48.2824780243818,31,9,0,3,0,961
1,78.4178610573023,35,11,0,2,0,1225
1,84.6821402929791,34,12,0,1,0,1156
1,50.3093387555969,57,4,0,0,0,3249
0,60.7132961492391,44,10,0,2,0,1936
0,14.3949826821593,56,7,0,1,0,3136
1,37.3700178449443,34,4,0,3,0,1156
1,46.233873451172,27,16,1,0,0,729
0,46.8557962813496,44,9,0,3,0,1936
1,50.551656831274,33,12,2,0,0,1089
0,35.9820326574016,52,9,0,2,0,2704
0,31.6782942069149,26,8,1,0,0,676
0,49.6465410311434,28,9,0,2,0,784
0,47.2544921329644,46,8,2,1,0,2116
1,44.3634406300669,42,9,0,2,0,1764
0,34.4239561260053,24,6,1,0,0,576
1,34.543372936937,21,8,0,0,0,441
0,42.7603264679034,58,4,0,0,0,3364
1,55.5887432384041,47,8,0,4,0,2209
0,52.3362224400827,37,8,0,2,0,1369
1,90.8268294982807,31,11,1,0,0,961
1,50.0028858627647,57,8,0,0,0,3249
1,57.7231162202328,38,9,0,2,0,1444
0,10.5511274447995,22,13,1,0,0,484
1,46.1946837452692,40,8,0,2,0,1600
0,83.2029431015194,40,11,0,1,0,1600
1,71.3770736909739,35,9,0,2,0,1225
0,68.3023874300538,37,9,0,2,0,1369
1,42.895190968662,54,12,0,0,0,2916
0,65.2733424559382,52,10,0,0,0,2704
1,38.9274135531903,31,11,0,2,0,961
0,62.0906069725203,46,10,0,2,0,2116
0,46.1945913559941,44,6,1,1,0,1936
0,40.9670760532817,25,10,1,0,0,625
0,52.6411282978941,27,9,1,0,0,729
1,42.8201043891352,45,9,0,1,0,2025
0,142.182965979175,31,15,0,2,0,961
1,41.7396585418508,31,13,0,2,0,961
1,42.8350083786063,34,14,0,2,0,1156
1,56.2412076834757,37,11,0,2,0,1369
1,67.2181110585601,51,8,0,0,0,2601
0,32.6158289458662,52,9,0,0,0,2704
0,55.0549468968524,34,8,0,2,0,1156
1,37.4438591175282,45,11,0,2,0,2025
1,62.9352689390986,26,14,1,0,0,676
0,57.6180404555694,40,9,0,1,0,1600
0,48.1766142131557,44,10,0,2,0,1936
0,53.8067928859417,28,13,2,0,0,784
0,41.6669696837548,41,8,1,3,0,1681
0,49.2247586254437,58,10,0,0,0,3364
0,53.1619928554601,35,10,0,1,0,1225
0,162.024202304943,56,12,0,0,0,3136
1,74.3271073022105,40,13,0,4,0,1600
0,36.68062626608,34,9,1,1,0,1156
0,34.8779115170884,29,14,1,1,0,841
1,47.2859741070586,37,13,0,2,0,1369
1,46.8999552370494,26,12,0,0,0,676
0,43.8865423642774,43,8,0,3,0,1849
1,63.9343465080235,38,9,0,3,0,1444
1,44.0549060615871,47,8,0,1,0,2209
0,40.3341183925725,53,8,0,3,0,2809
0,32.8995414840062,54,8,0,0,0,2916
0,40.8548164871547,39,11,2,0,0,1521
1,50.6989763986638,34,10,0,0,0,1156
0,22.6114116932686,54,8,0,1,0,2916
0,46.4544712951503,31,9,2,0,0,961
0,55.9941220043431,35,8,0,4,0,1225
1,51.034134921335,37,12,1,1,0,1369
0,45.0140976139308,40,8,0,2,0,1600
0,40.6352420558048,24,8,2,0,0,576
0,64.6555999539885,33,12,1,0,0,1089
1,68.0512243611967,49,9,0,3,0,2401
0,37.1562027048355,30,12,0,2,0,900
0,42.6122052739573,61,9,0,0,0,3721
0,124.627304678517,32,13,2,1,0,1024
0,55.2691408440723,39,8,0,5,0,1521
0,36.8319516940677,40,8,0,2,0,1600
0,64.1810965462416,27,10,0,2,0,729
0,40.9127078847371,20,9,1,0,0,400
0,38.6413412823447,43,11,0,2,0,1849
1,54.4861598121466,32,13,1,1,0,1024
0,57.0104577906769,34,11,0,2,0,1156
1,36.5384350277988,46,8,0,2,0,2116
0,62.8100894761481,44,5,0,1,0,1936
0,39.1112332457582,36,8,0,3,0,1296
1,72.6211150909612,45,12,0,2,0,2025
0,58.939454436693,33,12,1,0,0,1089
0,83.6933664957053,55,4,0,0,0,3025
0,51.6340697467721,36,12,0,2,0,1296
1,33.0096426737267,37,8,0,0,0,1369
0,59.1650337347886,39,11,0,2,0,1521
0,52.2771159102042,53,8,0,0,0,2809
0,37.1692839903588,22,9,1,0,0,484
0,50.0575188383025,33,12,0,2,0,1089
1,25.909215624033,40,10,0,0,0,1600
0,73.0396702055077,57,12,0,0,0,3249
0,75.0318523230053,29,10,1,2,0,841
1,53.8461938773377,47,8,0,0,0,2209
1,41.8284914518345,41,10,0,0,0,1681
0,51.5455416619071,41,8,0,2,0,1681
1,42.638846226684,31,12,0,0,0,961
0,84.8823110347869,43,12,0,1,0,1849
0,76.3041800366004,51,8,0,1,0,2601
1,70.2360506346101,36,10,0,2,0,1296
1,54.8234883154313,39,10,0,1,0,1521
1,36.6070820754459,30,8,0,2,0,900
0,58.4510540441862,30,21,2,0,0,900
0,31.844310155432,24,2,0,0,0,576
0,38.8374784956316,49,8,0,1,0,2401
0,34.3864200695139,49,9,0,0,0,2401
0,36.9969960317748,30,8,0,2,0,900
1,44.3941507554608,40,9,0,4,0,1600
0,40.001330698291,44,6,0,0,0,1936
0,72.9472604907196,29,13,1,1,0,841
0,56.3742064257048,28,13,1,0,0,784
1,38.4823125335648,43,10,0,1,0,1849
0,46.8468945257497,29,10,2,2,0,841
1,35.0557524411777,44,7,1,1,0,1936
0,57.2078839978409,42,12,0,3,0,1764
1,49.0524297522467,45,8,0,6,0,2025
0,17.5795047565913,57,8,0,1,0,3249
0,62.5093234625656,51,8,0,0,0,2601
1,56.9149882892096,44,11,0,1,0,1936
0,22.365793616716,55,7,0,2,0,3025
0,98.6679054701522,55,14,0,0,0,3025
1,40.4059366525941,48,10,0,1,0,2304
0,42.0783653326718,45,9,0,3,0,2025
0,36.813356254206,54,11,0,0,0,2916
0,75.1202168054862,56,12,0,0,0,3136
1,44.3018182850426,33,13,2,0,0,1089
0,52.735914922707,40,10,0,3,0,1600
0,36.9763574666842,54,7,0,2,0,2916
0,32.8258633360652,56,4,0,0,0,3136
0,67.5734207133553,40,9,0,2,0,1600
1,25.8524848230583,42,8,0,3,0,1764
0,72.3938043908452,50,14,0,1,0,2500
1,39.3550271322692,49,9,0,0,0,2401
0,49.3818388022746,58,8,0,0,0,3364
1,17.3503333769465,58,8,0,0,0,3364
0,43.2559467492218,57,4,0,0,0,3249
0,43.8550431364359,54,4,0,0,0,2916
0,26.5164612932847,59,8,0,0,0,3481
1,117.275951901975,51,18,0,1,0,2601
0,48.7781624056767,26,12,1,0,0,676
1,58.2266248057035,43,10,0,2,0,1849
0,38.4244402130465,38,9,0,2,0,1444
1,44.551629094137,39,8,0,2,0,1521
1,33.8141962266972,53,9,0,0,0,2809
0,63.0189655155747,38,10,0,1,0,1444
1,51.6209047375967,48,7,0,0,0,2304
1,35.6998940508493,41,9,0,0,0,1681
0,48.4581103696475,55,12,0,0,0,3025
0,37.6384344457166,30,13,1,0,0,900
1,25.118125600912,58,8,0,0,0,3364
0,33.3001439905591,28,8,2,0,0,784
1,38.1852273036675,36,15,0,0,0,1296
0,43.4264508053132,50,4,0,1,0,2500
0,51.3062060769139,27,10,1,1,0,729
1,30.5392188342748,55,8,0,0,0,3025
0,46.9506815012667,28,12,1,0,0,784
1,43.7900980986674,45,8,0,2,0,2025
1,44.1527282879776,39,4,0,0,0,1521
1,34.4688397761853,30,9,0,1,0,900
1,60.4913706523316,53,8,0,0,0,2809
0,44.5441895932938,23,10,2,0,0,529
0,54.9149552869926,58,13,0,0,0,3364
0,27.8952025106348,44,9,0,1,0,1936
0,128.276067789895,52,9,0,1,0,2704
0,35.7802734653412,24,12,1,0,0,576
1,69.4055420545275,48,9,0,0,0,2304
0,69.8080073044728,38,11,0,2,0,1444
0,42.003826489148,56,11,0,0,0,3136
1,47.9443863276912,50,8,0,0,0,2500
1,59.0619398399618,43,14,0,3,0,1849
0,41.2978202869232,28,10,0,2,0,784
0,55.0648576792375,56,12,0,0,0,3136
1,44.4757332860938,36,12,0,2,0,1296
0,57.0982073368628,47,11,0,1,0,2209
1,32.2868078472343,37,11,0,0,0,1369
0,44.2801599917855,46,11,0,0,0,2116
0,63.052752735257,57,9,0,0,0,3249
0,42.4822236348925,33,10,0,2,0,1089
0,38.3515030888516,47,8,0,2,0,2209
0,119.644365414962,45,14,0,2,0,2025
1,96.0715014509713,42,13,0,3,0,1764
0,115.430858270379,33,11,2,2,0,1089
1,44.2072905927014,45,12,0,2,0,2025
1,50.9948027678043,39,9,0,1,0,1521
1,48.7857723925755,33,10,0,3,0,1089
1,32.1966278212433,29,4,1,1,0,841
1,53.4436977371545,44,13,0,2,0,1936
0,86.1131148539314,33,15,0,3,0,1089
0,68.3249992623449,26,11,1,0,0,676
1,54.1692671578814,32,12,0,0,0,1024
0,70.2792590909889,29,12,1,2,0,841
1,23.3449741476437,60,9,0,0,0,3600
1,45.9785379366221,39,11,0,2,0,1521
1,16.0008160012567,47,9,0,0,0,2209
0,69.5645933050004,34,8,0,3,0,1156
1,1.32199997301582,57,12,0,0,0,3249
0,47.2329489967601,33,12,0,2,0,1089
0,41.8561492245711,56,8,0,0,0,3136
1,50.0663798033091,55,9,0,0,0,3025
0,120.227853436475,37,13,0,3,0,1369
1,52.4185596818746,54,8,0,0,0,2916
1,108.83595200035,33,14,1,2,0,1089
0,84.672825769855,52,4,0,1,0,2704
1,34.2063302174368,25,13,0,0,0,625
1,48.3758499401521,47,8,0,1,0,2209
0,44.0696228577798,42,9,0,2,0,1764
0,41.7561907197885,31,12,0,2,0,961
0,32.5734559166732,30,11,1,0,0,900
0,65.7820313346662,58,4,0,0,0,3364
1,21.0004049530876,57,15,0,0,0,3249
0,53.1644383633777,60,8,0,0,0,3600
1,56.6988382450137,44,11,0,1,0,1936
0,45.3934454382618,26,8,1,2,0,676
1,47.9558464054483,59,12,0,0,0,3481
0,33.2222130848963,21,12,1,0,0,441
1,30.6849013533088,50,9,0,0,0,2500
0,62.2316505131259,45,9,0,0,0,2025
0,33.7887775097702,44,8,0,1,0,1936
0,20.0004089534585,24,8,1,0,0,576
0,33.3568690950014,31,10,0,1,0,961
0,104.085400519668,47,7,0,1,0,2209
0,45.5648105898679,49,7,0,1,0,2401
1,45.2479208497227,45,3,0,4,0,2025
1,41.581598307207,36,9,0,3,0,1296
1,40.4542506087333,43,8,0,1,0,1849
1,54.0762301758331,57,8,0,0,0,3249
0,38.7251678621995,28,10,0,1,0,784
0,60.4093999424286,43,12,1,0,0,1849
0,57.8879196402224,57,11,0,1,0,3249
0,65.8338221703473,51,8,0,0,0,2601
0,56.933260933053,27,12,1,0,0,729
0,69.0110558186599,32,14,3,0,0,1024
1,57.2687855803109,38,12,0,1,0,1444
0,22.0180753098278,61,11,0,0,0,3721
1,53.2821149801602,33,11,2,0,0,1089
1,45.5225005368925,44,11,0,0,0,1936
0,32.1907041867153,42,8,0,0,0,1764
1,36.9670036315552,59,8,0,0,0,3481
0,57.5608541391022,34,8,0,1,0,1156
0,60.9303690393496,26,13,1,1,0,676
0,41.3824021249447,31,11,1,1,0,961
0,53.0997765965553,41,9,0,1,0,1681
0,38.4201369167316,56,11,0,0,0,3136
0,52.7527931158492,36,12,0,2,0,1296
0,58.3690463471828,47,12,0,0,0,2209
0,74.1368508439952,38,12,0,3,0,1444
0,38.7744188429205,39,9,1,2,0,1521
0,46.9596968975653,52,8,0,1,0,2704
1,27.3938550780485,43,4,0,0,0,1849
1,47.6580578634627,49,11,0,0,0,2401
0,42.0200010757544,31,16,1,2,0,961
1,40.5240944139963,38,11,0,2,0,1444
0,36.2104489068543,49,4,0,0,0,2401
1,79.7318971583316,36,11,0,2,0,1296
1,44.9624061182236,28,10,1,1,0,784
0,64.8765167648567,31,12,2,0,0,961
1,47.3606502782027,39,12,0,2,0,1521
0,131.576143362511,38,14,0,2,0,1444
0,89.7585889159861,54,13,0,0,0,2916
1,39.8880476357404,45,12,0,1,0,2025
1,38.7997856068714,27,8,0,0,0,729
1,69.8267881843527,43,9,0,0,0,1849
0,41.9615079641667,61,8,0,0,0,3721
1,57.6942041820768,30,15,1,1,0,900
1,57.0729184329184,26,10,1,2,0,676
1,60.2651336063005,51,12,0,0,0,2601
0,36.449389925534,59,9,0,0,0,3481
0,37.1438688930636,58,14,0,0,0,3364
1,34.3299352381729,31,11,0,0,0,961
0,31.6927111103759,59,4,0,0,0,3481
0,52.4882177718666,41,9,0,1,0,1681
0,44.7280007735045,25,10,1,0,0,625
1,57.5227039409961,45,11,0,4,0,2025
0,38.0183417542305,23,12,0,0,0,529
1,41.5854655756748,42,10,0,2,0,1764
0,43.2539570214354,33,8,0,2,0,1089
0,40.1603311460423,46,8,0,1,0,2116
0,28.6023739898158,30,4,2,0,0,900
1,40.8886991724552,36,10,0,4,0,1296
1,23.9639045466939,25,12,0,0,0,625
1,75.5615624748916,41,12,0,2,0,1681
1,40.7263670198671,21,10,0,0,0,441
1,53.7378030371206,38,12,0,0,0,1444
0,59.108380773572,34,9,0,3,0,1156
1,54.245699696851,55,8,0,0,0,3025
0,59.69162471451,43,11,0,2,0,1849
0,39.0986414560399,59,8,0,0,0,3481
1,37.4475662430806,38,12,0,2,0,1444
1,46.6660874005064,43,9,0,0,0,1849
1,29.8464743614269,22,8,0,0,0,484
1,64.3295905791263,36,11,0,2,0,1296
1,56.0071701548206,28,9,0,1,0,784
0,47.3814461680387,30,9,1,1,0,900
1,49.4203222420552,51,11,0,0,0,2601
1,68.1899177960022,44,9,0,0,0,1936
1,25.3274229810174,20,11,0,0,0,400
1,34.4121163216611,47,12,0,0,0,2209
1,36.2109920676616,41,7,0,0,0,1681
0,36.4089171401221,42,8,0,2,0,1764
0,49.6725626357087,31,10,0,0,0,961
1,49.993236237012,61,4,0,0,0,3721
0,57.8285570928657,37,8,0,2,0,1369
0,56.4319067475608,38,12,0,2,0,1444
0,44.2926930504073,28,12,1,1,0,784
0,38.478272102875,20,12,1,0,0,400
0,52.5659578476349,51,8,0,0,0,2601
1,35.824883472342,21,9,0,0,0,441
0,42.2596496166063,22,12,1,0,0,484
1,46.2225013171329,26,9,0,0,0,676
0,41.5282833254531,57,9,0,0,0,3249
1,39.2176821762839,34,9,0,2,0,1156
0,80.7642745439333,28,12,0,0,0,784
1,35.6002877616547,32,10,2,0,0,1024
0,34.654296706365,21,14,1,0,0,441
1,35.3057457924465,38,9,0,1,0,1444
0,17.0468719067504,61,4,0,0,0,3721
0,41.7692624531033,43,9,0,0,0,1849
0,40.9978538830263,28,12,3,1,0,784
1,51.1647450187907,27,11,1,0,0,729
0,77.4209736298507,34,17,1,0,0,1156
1,28.1577526324238,40,9,0,6,0,1600
0,57.1967295480556,49,9,0,0,0,2401
0,59.0502467335292,31,11,2,0,0,961
0,35.5818515879753,26,10,2,0,0,676
1,40.7941921094126,40,6,0,3,0,1600
1,35.0393151481293,37,8,0,3,0,1369
0,35.6779810438836,21,11,1,0,0,441
1,44.0234180620543,33,9,0,3,0,1089
1,24.6077570635086,34,16,0,2,0,1156
1,47.8268272221031,23,12,0,0,0,529
1,36.7293704967668,39,8,0,3,0,1521
0,54.6263693349281,52,10,0,1,0,2704
0,78.4466456939681,35,3,0,2,0,1225
0,81.3074559147963,56,12,0,0,0,3136
0,84.4824415968235,51,10,0,0,0,2601
1,38.6828643767924,43,9,0,1,0,1849
1,47.0375736183692,52,8,0,0,0,2704
0,47.99489835641,49,10,0,0,0,2401
1,48.0181815278255,36,10,0,2,0,1296
1,36.946234012324,23,15,0,0,0,529
0,90.2723959517592,42,5,0,2,0,1764
0,37.7258192587257,58,8,0,0,0,3364
0,33.0706347524708,57,9,0,0,0,3249
0,55.5059776866273,34,12,0,2,0,1156
0,38.1452682928729,56,13,0,0,0,3136
0,50.8009838243446,58,10,0,0,0,3364
0,33.9539339129977,60,12,0,0,0,3600
1,76.4464672233693,49,11,0,0,0,2401
1,44.9941157908832,50,12,0,0,0,2500
0,64.2392709687467,41,12,0,2,0,1681
0,128.381040541349,46,12,0,1,0,2116
1,38.5982801978307,28,12,2,0,0,784
1,44.6529654699704,33,13,0,0,0,1089
0,46.2408090523468,33,12,0,1,0,1089
1,35.0931417982667,27,13,1,1,0,729
0,51.5726617487789,51,10,0,0,0,2601
1,36.5962845789427,51,5,0,1,0,2601
0,27.0398504649709,60,9,0,0,0,3600
0,45.3848215029284,29,12,2,0,0,841
1,44.3342147536757,28,14,0,2,0,784
1,56.148373910192,35,12,0,2,0,1225
0,208.561449787483,35,16,1,2,0,1225
0,51.0697691824205,48,9,0,0,0,2304
0,49.48658986325,32,10,0,2,0,1024
1,78.8916759499299,35,12,0,2,0,1225
1,42.5937581831571,27,5,1,0,0,729
1,37.0685062520094,26,13,2,0,0,676
1,37.7947317423874,36,16,0,1,0,1296
0,67.6112048152067,40,11,0,4,0,1600
0,24.5728142734535,26,7,2,0,0,676
1,36.1151960874685,20,12,0,0,0,400
0,44.8609955408378,39,10,1,3,0,1521
0,34.4197222397912,28,9,1,0,0,784
1,51.6655761377899,42,14,0,2,0,1764
0,49.3017570817934,23,12,1,0,0,529
0,41.2824190724612,24,9,2,0,0,576
0,36.3078772193859,25,16,2,0,0,625
1,45.4194179164731,34,12,0,1,0,1156
0,59.8515734181625,37,9,0,2,0,1369
1,28.5964539111492,49,15,0,0,0,2401
1,19.2661509821153,36,9,0,2,0,1296
1,39.3455043680042,37,8,0,2,0,1369
1,38.196035252247,28,13,1,1,0,784
1,41.2674362738804,43,5,0,2,0,1849
1,35.0699528963144,52,5,0,0,0,2704
1,35.0947210251799,35,13,0,2,0,1225
0,41.3970954856163,55,10,0,0,0,3025
0,34.0167728134635,57,5,0,0,0,3249
0,41.1668253075775,44,9,0,2,0,1936
0,43.5024266248417,25,10,2,0,0,625
1,53.7588186263881,38,14,0,3,0,1444
1,27.7450298880399,37,9,0,1,0,1369
0,56.8740811205191,49,8,0,1,0,2401
0,53.0026928640925,46,10,0,0,0,2116
1,37.0941294416221,27,13,0,1,0,729
1,25.434123594771,51,9,0,0,0,2601
1,39.7651030952212,48,11,0,2,0,2304
0,36.0164119120707,26,11,1,2,0,676
1,14.1188491109188,44,13,0,0,0,1936
0,46.1150204902908,50,11,0,0,0,2500
0,41.1647670177698,48,6,0,0,0,2304
1,45.6978257882006,41,10,0,2,0,1681
1,84.5924247818897,38,12,0,0,0,1444
1,53.1890060085906,35,13,0,1,0,1225
1,46.1100864470744,42,15,0,1,0,1764
1,41.4208642394047,45,11,0,2,0,2025
1,36.8001058311738,44,9,0,1,0,1936
0,55.8802898295859,56,12,0,0,0,3136
1,74.5795783457988,29,13,1,0,0,841
1,44.5803295838393,46,12,0,1,0,2116
0,43.2043731745042,33,11,1,1,0,1089
0,62.6735006422491,28,14,1,1,0,784
0,50.6396932836624,50,14,0,0,0,2500
1,47.1745107866179,27,14,0,0,0,729
1,45.436362519328,38,11,0,0,0,1444
0,41.0978463965196,50,5,0,0,0,2500
1,36.0986952135933,21,11,1,0,0,441
0,34.6441791289649,24,7,1,1,0,576
0,24.1857767075292,55,9,0,0,0,3025
0,94.4895948488508,38,11,0,2,0,1444
0,51.5425521071887,33,7,0,2,0,1089
0,49.6858766664955,60,10,0,0,0,3600
0,47.2491054279092,53,6,0,0,0,2809
0,61.4408375667526,29,11,1,0,0,841
1,23.7919840902964,40,10,0,1,0,1600
1,42.6260138653371,39,12,0,2,0,1521
1,49.0795632476197,34,14,1,1,0,1156
1,40.0903124772484,48,4,0,1,0,2304
1,34.5213412938446,35,13,0,0,0,1225
0,84.6560622099997,30,9,1,0,0,900
0,115.84159772037,25,11,1,0,0,625
0,20.6821647173795,59,9,0,0,0,3481
0,63.8325801724431,51,19,0,2,0,2601
0,37.7333651771441,39,9,0,2,0,1521
0,43.9404242015055,59,10,0,0,0,3481
0,42.4426910899436,40,8,0,2,0,1600
0,12.0702496814971,36,8,1,0,0,1296
0,42.1883333119769,48,8,0,2,0,2304
0,37.2931148454686,21,11,1,0,0,441
0,27.9087628739564,58,5,0,0,0,3364
0,27.5979286506655,60,8,0,0,0,3600
0,62.7765578421109,48,11,0,1,0,2304
1,81.1478436343475,35,13,0,1,0,1225
0,38.3431433724204,49,11,0,0,0,2401
1,28.5727287017269,44,7,0,1,0,1936
0,87.8968283023434,47,13,0,0,0,2209
0,46.0631242003132,53,8,0,0,0,2809
0,53.5455514716311,46,12,0,2,0,2116
0,135.489306856547,54,13,0,2,0,2916
0,21.9093113227873,59,11,0,0,0,3481
0,46.8460512892374,57,10,0,0,0,3249
0,34.2859181742468,42,5,0,0,0,1764
0,22.2438534501718,62,11,0,0,0,3844
0,39.4600876180044,46,4,0,2,0,2116
0,49.5817449695948,35,12,0,2,0,1225
0,57.4640606961155,32,12,2,0,0,1024
0,20.8692486920368,35,12,0,2,0,1225
0,36.2671626263037,40,11,0,2,0,1600
1,39.9626281452329,25,14,0,0,0,625
0,37.2661989343633,40,12,0,1,0,1600
0,48.2086623164207,29,10,0,0,0,841
0,67.247828030615,37,11,0,2,0,1369
0,69.658290291515,53,5,0,1,0,2809
0,18.4861669695462,60,9,0,0,0,3600
1,19.8445760117947,42,9,0,3,0,1764
0,42.4251234525841,32,12,0,3,0,1024
0,17.3958856439857,59,5,0,0,0,3481
1,19.5142842104464,45,8,0,1,0,2025
0,68.5278149845759,51,8,0,1,0,2601
1,32.9097090131271,35,8,0,0,0,1225
0,46.5952088290184,28,11,0,0,0,784
0,30.7348663232917,57,5,0,0,0,3249
1,50.201540878521,26,7,1,0,0,676
1,30.3783359461458,42,5,0,0,0,1764
0,42.4483787916171,31,12,1,1,0,961
0,42.5075080793316,55,8,0,0,0,3025
0,51.3371017116251,42,15,0,2,0,1764
0,64.7439798532541,40,11,0,3,0,1600
0,34.6493414962419,47,11,0,0,0,2209
0,42.368989757839,47,9,0,1,0,2209
1,42.0423616637157,26,13,1,0,0,676
0,79.280303721955,44,9,1,0,0,1936
0,39.4596535594279,23,9,0,1,0,529
0,52.63102217148,50,8,0,0,0,2500
0,28.6557098795137,58,12,0,0,0,3364
1,64.029423571697,40,9,0,2,0,1600
1,36.9485616983881,33,12,0,2,0,1089
1,71.1698818370227,30,15,0,0,0,900
0,40.0048109654512,31,12,1,0,0,961
0,132.983587854592,31,12,2,0,0,961
1,38.2683322902146,33,9,1,1,0,1089
0,48.7367185837514,35,12,0,2,0,1225
1,25.3240040097007,26,11,0,0,0,676
0,51.8317927693509,24,14,1,0,0,576
0,57.6617891488041,61,5,0,0,0,3721
0,46.9875992436988,29,10,0,1,0,841
1,14.1079253497479,59,8,0,0,0,3481
0,36.5224712200377,27,12,1,0,0,729
0,19.0721989245707,62,11,0,0,0,3844
1,48.5784356250101,44,12,0,0,0,1936
