obs,idnumber,salary,lsalary,educ,salbeginn,lsalbeginn,male,minority,jobcat
135,135,24,3.17805383,12,11.25,2.420368129,0,0,1
136,136,19.8,2.985681938,8,10.2,2.32238772,0,0,1
137,137,30.6,3.421000009,15,16.5,2.803360381,1,1,1
138,138,28.95,3.365570204,15,15,2.708050201,1,1,1
139,139,38.4,3.64805746,15,16.5,2.803360381,1,1,1
140,140,30.75,3.425889994,8,15,2.708050201,1,1,2
141,141,20.4,3.015534901,12,10.95,2.393339456,0,1,1
142,142,19.2,2.954910279,12,11.1,2.406945108,0,1,1
143,143,30.15,3.406184923,15,15.75,2.756840365,1,0,1
144,144,34.62,3.54443155,16,27.75,3.32323584,1,0,1
145,145,80,4.382026635,15,15.75,2.756840365,1,0,1
146,146,25.35,3.23277873,12,15,2.708050201,1,0,1
147,147,29.85,3.39618484,12,15.75,2.756840365,1,0,1
148,148,24,3.17805383,12,13.8,2.624668592,0,0,1
149,149,27.75,3.32323584,15,19.5,2.970414466,0,0,1
150,150,22.35,3.106826321,8,10.2,2.32238772,0,0,1
151,151,16.2,2.785011242,12,10.2,2.32238772,0,0,1
152,152,21.9,3.086486637,15,12.75,2.545531272,0,0,1
153,153,23.25,3.146305132,16,15.75,2.756840365,0,0,1
154,154,33.9,3.523415014,12,12,2.48490665,0,0,1
155,155,25.65,3.244543572,15,14.25,2.656756907,0,0,1
156,156,17.25,2.847812143,12,10.2,2.32238772,0,0,1
157,157,22.5,3.113515309,15,15,2.708050201,1,1,1
158,158,40.2,3.693866996,16,21,3.044522438,1,0,3
159,159,55.5,4.016383021,19,33.75,3.518980417,1,0,3
160,160,26.55,3.279029748,15,15,2.708050201,1,0,1
161,161,50.55,3.922962945,15,19.5,2.970414466,1,0,1
162,162,75,4.317488114,19,31.5,3.449987546,1,0,3
163,163,27.45,3.312366168,8,12,2.48490665,0,0,1
164,164,22.65,3.120159852,12,11.25,2.420368129,0,0,1
165,165,27.3,3.306886702,12,11.25,2.420368129,0,0,1
166,166,27.75,3.32323584,12,11.225,2.418143434,0,0,1
167,167,54.375,3.995904489,16,18.75,2.931193752,0,0,3
168,168,17.4,2.856470206,8,10.2,2.32238772,0,0,1
169,169,40.8,3.708682081,12,18,2.890371758,0,0,1
170,170,23.1,3.139832618,12,10.95,2.393339456,0,0,1
171,171,22.5,3.113515309,8,10.95,2.393339456,0,0,1
172,172,26.7,3.284663565,12,11.55,2.446685437,0,0,1
173,173,24.9,3.214867803,12,11.25,2.420368129,0,0,1
174,174,19.65,2.978077338,12,10.95,2.393339456,0,0,1
175,175,22.05,3.093312602,12,10.95,2.393339456,0,0,1
176,176,25.5,3.238678452,12,12,2.48490665,0,0,1
177,177,28.2,3.339321978,15,12.75,2.545531272,0,0,1
178,178,23.1,3.139832618,12,11.25,2.420368129,0,0,1
179,179,25.5,3.238678452,12,11.4,2.433613355,1,1,1
180,180,17.1,2.839078464,8,10.2,2.32238772,0,1,1
181,181,68.125,4.221344253,18,32.49,3.48093235,1,0,3
182,182,30.6,3.421000009,12,15.75,2.756840365,1,0,2
183,183,52.125,3.95364468,19,27.48,3.313458467,1,0,3
184,184,61.875,4.125116221,19,36.75,3.604138226,1,0,3
185,185,21.3,3.058707073,8,11.55,2.446685437,1,0,1
186,186,19.65,2.978077338,12,11.25,2.420368129,0,0,1
187,187,22.35,3.106826321,12,11.25,2.420368129,0,0,1
188,188,23.4,3.152736022,12,11.25,2.420368129,0,0,1
189,189,24.3,3.19047635,12,10.95,2.393339456,0,0,1
190,190,28.5,3.349904087,12,11.25,2.420368129,0,0,1
191,191,19.95,2.993229143,12,11.25,2.420368129,0,0,1
192,192,23.4,3.152736022,12,11.25,2.420368129,0,0,1
193,193,34.5,3.540959324,16,17.25,2.847812143,0,0,1
194,194,18.15,2.898670561,12,10.95,2.393339456,0,0,1
195,195,22.35,3.106826321,12,15,2.708050201,1,1,1
196,196,40.2,3.693866996,15,17.25,2.847812143,1,0,1
197,197,28.65,3.355153443,15,18,2.890371758,1,0,1
198,198,27.75,3.32323584,15,16.5,2.803360381,1,0,1
199,199,66.875,4.202825205,18,31.98,3.465110707,1,0,1
200,200,30,3.401197382,12,15.75,2.756840365,1,0,2
201,201,83.75,4.427836171,16,21.75,3.079613758,1,0,3
202,202,33.9,3.523415014,12,16.5,2.803360381,1,0,1
203,203,56.5,4.034240638,16,21,3.044522438,1,0,3
204,204,43,3.761200116,16,17.49,2.861629289,0,0,3
205,205,20.85,3.037353948,8,12,2.48490665,0,0,1
206,206,24.45,3.196630216,12,12,2.48490665,0,0,1
207,207,24.75,3.208825489,12,10.95,2.393339456,0,0,1
208,208,34.5,3.540959324,8,15.75,2.756840365,1,1,2
209,209,27.9,3.328626689,14,15,2.708050201,1,1,1
210,210,68.125,4.221344253,19,32.01,3.466048354,1,0,3
211,211,73.5,4.297285406,19,33,3.496507561,1,0,3
212,212,30.75,3.425889994,8,15.75,2.756840365,1,0,2
213,213,40.05,3.690128674,15,25.5,3.238678452,1,0,3
214,214,40.35,3.697591395,16,19.5,2.970414466,1,0,1
215,215,38.7,3.6558396,15,23.73,3.16674007,1,0,3
216,216,65,4.17438727,17,30.75,3.425889994,1,0,3
217,217,51.45,3.940610462,18,36.24,3.590163481,1,0,3
218,218,35.25,3.562465529,12,15.75,2.756840365,1,0,2
219,219,25.95,3.25617161,14,15,2.708050201,1,0,1
220,220,25.05,3.220873828,15,14.25,2.656756907,1,0,1
221,221,26.7,3.284663565,12,12.75,2.545531272,1,0,1
222,222,24,3.17805383,8,15.75,2.756840365,1,0,1
223,223,26.85,3.290265821,12,15,2.708050201,1,0,1
224,224,23.4,3.152736022,12,15.3,2.727852828,0,0,1
225,225,24.6,3.202746443,12,13.5,2.602689685,0,0,1
226,226,32.55,3.482777369,15,18,2.890371758,0,0,1
227,227,26.55,3.279029748,16,15,2.708050201,1,1,1
228,228,31.5,3.449987546,12,13.5,2.602689685,1,1,1
229,229,22.35,3.106826321,8,15,2.708050201,1,1,1
230,230,35.25,3.562465529,12,15.75,2.756840365,1,1,2
231,231,25.8,3.250374492,15,13.5,2.602689685,0,1,1
232,232,30.75,3.425889994,12,15.75,2.756840365,1,0,2
233,233,30.75,3.425889994,15,16.5,2.803360381,1,0,1
234,234,50,3.912023005,16,32.49,3.48093235,1,0,3
235,235,34.5,3.540959324,15,18,2.890371758,1,0,1
236,236,26.25,3.267665989,15,15.75,2.756840365,1,0,1
237,237,44.875,3.803880847,16,21.24,3.055886196,1,0,1
238,238,22.5,3.113515309,12,12,2.48490665,0,0,1
239,239,25.65,3.244543572,12,14.25,2.656756907,0,0,1
240,240,21.3,3.058707073,12,11.25,2.420368129,0,0,1
241,241,29.85,3.39618484,12,13.5,2.602689685,0,0,1
242,242,34.5,3.540959324,12,12.15,2.49732917,0,0,1
243,243,27.75,3.32323584,15,15,2.708050201,1,1,1
244,244,27.75,3.32323584,12,11.55,2.446685437,1,1,1
245,245,48.75,3.886705197,16,21.99,3.090587805,1,0,3
246,246,43.41,3.770689829,15,15.75,2.756840365,1,0,1
247,247,22.05,3.093312602,12,15,2.708050201,1,0,1
248,248,22.05,3.093312602,12,12,2.48490665,0,0,1
249,249,22.5,3.113515309,12,14.25,2.656756907,0,0,1
250,250,25.5,3.238678452,15,12,2.48490665,0,0,1
251,251,29.16,3.372797907,12,15,2.708050201,0,0,1
252,252,16.8,2.821378886,8,10.2,2.32238772,0,0,1
253,253,29.55,3.386083744,8,15.75,2.756840365,1,1,2
254,254,26.7,3.284663565,12,15.75,2.756840365,1,1,1
255,255,55,4.007333185,18,32.49,3.48093235,1,0,3
256,256,62.5,4.135166557,18,34.98,3.55477647,1,0,3
257,257,27.3,3.306886702,15,17.25,2.847812143,1,0,1
258,258,24.45,3.196630216,12,12,2.48490665,0,0,1
259,259,33,3.496507561,16,18,2.890371758,0,0,1
260,260,37.05,3.612268352,15,18,2.890371758,0,0,1
261,261,24.45,3.196630216,12,10.95,2.393339456,0,1,1
262,262,31.95,3.464172181,8,15.75,2.756840365,1,0,2
263,263,47.25,3.855452654,16,21.24,3.055886196,1,0,3
264,264,26.1,3.261935314,12,11.55,2.446685437,0,0,1
265,265,15.9,2.766319109,8,10.2,2.32238772,0,0,1
266,266,23.7,3.165475048,8,10.65,2.365559892,0,0,1
267,267,21.75,3.079613758,8,12.45,2.521720623,0,0,1
268,268,59.4,4.084294226,12,33.75,3.518980417,1,1,3
269,269,24.45,3.196630216,12,14.25,2.656756907,0,1,1
270,270,103.5,4.639571613,16,60,4.094344562,1,0,3
271,271,35.7,3.575150689,12,16.5,2.803360381,1,0,1
272,272,22.2,3.100092289,12,16.5,2.803360381,0,0,1
273,273,22.95,3.133317937,15,13.95,2.635479508,0,0,1
274,274,23.1,3.139832618,12,12,2.48490665,0,0,1
275,275,56.75,4.038655656,16,30,3.401197382,0,0,3
276,276,29.1,3.370738174,17,12.75,2.545531272,0,0,1
277,277,37.65,3.628332954,12,15.75,2.756840365,0,0,1
278,278,27.9,3.328626689,12,13.5,2.602689685,0,0,1
279,279,21.15,3.051639905,8,12,2.48490665,0,0,1
280,280,31.2,3.440418095,12,15.75,2.756840365,1,1,2
281,281,20.55,3.022860941,12,11.25,2.420368129,0,1,1
282,282,25.95,3.25617161,15,17.25,2.847812143,1,0,1
283,283,28.35,3.34462703,15,15,2.708050201,1,0,1
284,284,17.7,2.87356464,8,10.2,2.32238772,0,0,1
285,285,23.55,3.15912582,15,13.5,2.602689685,0,0,1
286,286,19.95,2.993229143,12,10.2,2.32238772,0,0,1
287,287,29.4,3.380994674,12,15.3,2.727852828,0,0,1
288,288,28.8,3.360375387,12,13.95,2.635479508,0,0,1
289,289,16.95,2.830267834,8,10.2,2.32238772,0,0,1
290,290,35.7,3.575150689,16,18,2.890371758,1,1,1
291,291,17.4,2.856470206,12,10.2,2.32238772,0,1,1
292,292,21.45,3.065724645,8,10.2,2.32238772,0,1,1
293,293,24.75,3.208825489,12,12,2.48490665,0,1,1
294,294,16.95,2.830267834,12,10.2,2.32238772,0,1,1
295,295,26.1,3.261935314,12,13.5,2.602689685,0,1,1
296,296,28.05,3.333988632,14,15,2.708050201,1,0,1
297,297,36.6,3.60004824,16,18,2.890371758,0,0,1
298,298,58.125,4.062595864,16,18,2.890371758,0,0,3
299,299,21.3,3.058707073,15,15.75,2.756840365,1,0,1
300,300,22.5,3.113515309,12,16.5,2.803360381,1,0,1
301,301,29.4,3.380994674,15,15.75,2.756840365,1,0,1
302,302,27.45,3.312366168,12,14.7,2.687847494,1,0,1
303,303,29.85,3.39618484,15,15.75,2.756840365,1,0,1
304,304,25.35,3.23277873,15,15.75,2.756840365,1,0,1
305,305,15.75,2.756840365,8,10.2,2.32238772,0,0,1
306,306,19.65,2.978077338,8,13.05,2.568788134,0,0,1
307,307,21,3.044522438,12,13.5,2.602689685,0,0,1
308,308,27,3.295836866,17,18,2.890371758,1,1,1
309,309,24,3.17805383,12,15.75,2.756840365,1,1,1
310,310,78.5,4.363098625,17,28.74,3.358289881,1,1,3
311,311,20.85,3.037353948,12,13.05,2.568788134,0,1,1
312,312,30,3.401197382,12,15.75,2.756840365,1,0,2
313,313,28.5,3.349904087,8,15.75,2.756840365,1,0,2
314,314,65,4.17438727,19,31.98,3.465110707,1,0,3
315,315,30.15,3.406184923,14,16.5,2.803360381,1,0,1
316,316,66.875,4.202825205,19,32.49,3.48093235,1,0,3
317,317,24.15,3.18428438,15,13.5,2.602689685,0,0,1
318,318,24.45,3.196630216,12,12.45,2.521720623,0,0,1
319,319,21.6,3.072693315,12,12,2.48490665,0,0,1
320,320,27.9,3.328626689,12,12.45,2.521720623,0,0,1
321,321,29.1,3.370738174,8,12.45,2.521720623,0,0,1
322,322,22.65,3.120159852,12,11.25,2.420368129,0,0,1
323,323,20.85,3.037353948,12,11.25,2.420368129,0,0,1
324,324,22.95,3.133317937,12,12.3,2.509599262,0,0,1
325,325,30.6,3.421000009,12,12.45,2.521720623,0,0,1
326,326,20.4,3.015534901,12,11.25,2.420368129,0,0,1
327,327,23.85,3.171784217,12,12.75,2.545531272,0,0,1
328,328,22.8,3.126760536,12,11.25,2.420368129,0,0,1
329,329,20.7,3.0301337,12,11.25,2.420368129,0,0,1
330,330,21.3,3.058707073,12,11.25,2.420368129,0,1,1
331,331,24.3,3.19047635,12,15,2.708050201,0,1,1
332,332,19.65,2.978077338,12,13.95,2.635479508,0,1,1
333,333,60,4.094344562,17,32.49,3.48093235,1,0,3
334,334,30.3,3.411147713,15,15.75,2.756840365,1,0,1
335,335,61.25,4.114963849,19,33,3.496507561,1,0,3
336,336,36,3.583518938,19,19.5,2.970414466,1,0,1
337,337,25.2,3.226843995,8,18.75,2.931193752,0,0,1
338,338,16.2,2.785011242,12,10.2,2.32238772,0,0,1
339,339,22.8,3.126760536,12,11.25,2.420368129,0,0,1
340,340,43.5,3.772760938,16,19.5,2.970414466,0,0,3
341,341,30.3,3.411147713,8,15.75,2.756840365,1,1,2
342,342,31.95,3.464172181,15,15.75,2.756840365,1,1,1
343,343,35.25,3.562465529,15,13.5,2.602689685,1,0,1
344,344,37.8,3.632309103,15,15,2.708050201,1,0,1
345,345,31.2,3.440418095,15,15.75,2.756840365,1,0,1
346,346,29.4,3.380994674,15,16.5,2.803360381,1,0,1
347,347,70,4.248495242,19,35.04,3.556490266,1,0,3
348,348,33.9,3.523415014,15,15.75,2.756840365,1,0,1
349,349,27.15,3.301377046,15,16.5,2.803360381,1,0,1
350,350,22.2,3.100092289,12,13.8,2.624668592,0,0,1
351,351,31.35,3.445214267,15,11.1,2.406945108,0,0,1
352,352,20.85,3.037353948,12,13.5,2.602689685,0,0,1
353,353,33.3,3.505557397,16,17.49,2.861629289,1,1,1
354,354,26.25,3.267665989,8,16.05,2.77570885,1,1,1
355,355,31.95,3.464172181,15,15.75,2.756840365,1,1,1
356,356,30,3.401197382,8,15.75,2.756840365,1,1,2
357,357,66.25,4.193435465,19,34.98,3.55477647,1,1,3
358,358,86.25,4.457250056,18,45,3.80666249,1,0,3
359,359,30.75,3.425889994,12,15,2.708050201,1,0,1
360,360,33.54,3.512738756,12,15.75,2.756840365,1,0,1
361,361,34.95,3.553918469,16,20.25,3.008154794,1,0,1
362,362,40.35,3.697591395,15,16.5,2.803360381,1,0,1
363,363,30.27,3.410157123,12,15.75,2.756840365,1,0,1
364,364,26.25,3.267665989,8,16.05,2.77570885,1,0,1
365,365,32.4,3.478158423,15,15,2.708050201,1,0,1
366,366,20.4,3.015534901,12,11.25,2.420368129,0,0,1
367,367,24.15,3.18428438,8,12.75,2.545531272,0,0,1
368,368,23.85,3.171784217,15,13.5,2.602689685,0,0,1
369,369,29.7,3.391147046,12,13.5,2.602689685,0,0,1
370,370,21.6,3.072693315,8,13.5,2.602689685,0,0,1
371,371,24.45,3.196630216,12,15.75,2.756840365,0,0,1
372,372,28.05,3.333988632,15,16.5,2.803360381,1,1,1
373,373,100,4.605170186,16,44.1,3.786459782,1,1,3
374,374,49,3.891820298,15,20.55,3.022860941,1,1,1
375,375,16.35,2.794227897,12,10.2,2.32238772,0,1,1
376,376,70,4.248495242,16,21.75,3.079613758,1,0,3
377,377,55,4.007333185,19,34.98,3.55477647,1,0,3
378,378,28.5,3.349904087,15,14.25,2.656756907,1,0,1
379,379,28.8,3.360375387,12,18,2.890371758,1,0,1
380,380,24.45,3.196630216,15,15.75,2.756840365,1,0,1
381,381,90.625,4.506730113,19,31.25,3.442019376,1,0,3
382,382,43.65,3.776203282,16,19.5,2.970414466,1,0,3
383,383,75,4.317488114,19,42.51,3.749739342,1,0,3
384,384,31.65,3.454738149,15,14.25,2.656756907,1,0,1
385,385,61.875,4.125116221,19,28.74,3.358289881,1,0,3
386,386,21.75,3.079613758,12,11.25,2.420368129,0,0,1
387,387,22.5,3.113515309,12,12.75,2.545531272,0,0,1
388,388,21.6,3.072693315,8,13.5,2.602689685,0,0,1
389,389,34.41,3.53834722,16,19.5,2.970414466,0,0,3
390,390,20.7,3.0301337,15,14.25,2.656756907,0,0,1
391,391,47.55,3.861781789,19,33,3.496507561,1,0,3
392,392,33.9,3.523415014,12,16.5,2.803360381,1,0,1
393,393,23.4,3.152736022,12,13.5,2.602689685,0,0,1
394,394,32.85,3.491951745,16,19.5,2.970414466,0,0,1
395,395,55.75,4.02087741,16,19.98,2.994731773,0,0,3
396,396,25.2,3.226843995,15,13.95,2.635479508,0,0,1
397,397,26.25,3.267665989,12,15.75,2.756840365,1,1,1
398,398,26.4,3.27336401,15,15.75,2.756840365,1,1,1
399,399,39.15,3.667400422,15,15.75,2.756840365,1,0,1
400,400,21.45,3.065724645,12,12.75,2.545531272,0,0,1
401,401,29.4,3.380994674,12,14.25,2.656756907,0,0,1
