obs,idnumber,salary,lsalary,educ,salbegin,lsalbegin,male,minority,jobcat
87,102,39.9,3.686376324,14,15.75,2.756840365,1,0,1
88,103,97,4.574710979,19,35.01,3.555633735,1,0,3
89,104,27.45,3.312366168,15,15.75,2.756840365,1,0,1
90,105,31.65,3.454738149,15,13.5,2.602689685,1,0,1
91,106,91.25,4.513602992,19,29.49,3.384051223,1,0,3
92,107,25.2,3.226843995,12,14.4,2.667228207,0,0,1
93,108,21,3.044522438,12,11.55,2.446685437,0,0,1
94,109,30.45,3.416085994,12,15,2.708050201,1,1,1
95,110,28.35,3.34462703,15,18,2.890371758,1,1,1
96,111,30.75,3.425889994,12,9,2.197224577,1,1,2
97,112,30.75,3.425889994,12,15,2.708050201,1,1,2
98,113,54.875,4.005057871,16,27.48,3.313458467,1,0,3
99,114,37.8,3.632309103,14,16.5,2.803360381,1,0,1
100,115,33.45,3.510051787,15,14.1,2.646174797,1,0,1
101,116,30.3,3.411147713,15,16.5,2.803360381,1,0,1
102,117,31.5,3.449987546,12,18.75,2.931193752,0,0,1
103,118,31.65,3.454738149,12,14.25,2.656756907,0,0,1
104,119,25.2,3.226843995,12,14.1,2.646174797,0,0,1
105,120,37.8,3.632309103,16,15.75,2.756840365,0,0,3
106,121,18.75,2.931193752,15,10.5,2.351375257,0,0,1
107,122,32.55,3.482777369,15,13.5,2.602689685,0,0,1
108,123,33.3,3.505557397,12,15,2.708050201,0,0,1
109,124,38.55,3.6519561,16,16.5,2.803360381,0,0,1
110,125,27.45,3.312366168,12,15,2.708050201,1,1,1
111,126,24.3,3.19047635,15,15,2.708050201,1,1,2
112,127,30.75,3.425889994,12,15,2.708050201,1,1,2
113,128,19.65,2.978077338,12,9.75,2.277267285,0,1,1
114,129,68.75,4.230476737,17,27.51,3.314549575,1,0,3
115,130,59.375,4.083873262,20,30,3.401197382,1,0,3
116,131,31.5,3.449987546,15,15.75,2.756840365,1,0,1
117,132,27.3,3.306886702,12,17.25,2.847812143,1,0,1
118,133,27,3.295836866,15,15.75,2.756840365,1,0,1
119,134,41.55,3.726897521,16,24.99,3.218475745,0,0,3
120,135,26.25,3.267665989,12,10.95,2.393339456,0,0,1
121,136,22.2,3.100092289,12,15,2.708050201,1,0,1
122,137,65,4.17438727,21,37.5,3.624340933,1,0,3
123,138,30.9,3.430756184,12,15,2.708050201,1,0,1
124,139,20.1,3.000719815,8,13.2,2.58021683,0,0,1
125,140,22.35,3.106826321,12,13.5,2.602689685,0,0,1
126,141,35.55,3.570940156,15,13.35,2.591516385,0,0,1
127,142,28.5,3.349904087,12,13.95,2.635479508,0,0,1
128,143,24.45,3.196630216,12,13.2,2.58021683,0,0,1
129,144,16.65,2.812410216,8,9.75,2.277267285,0,0,1
130,145,26.7,3.284663565,12,13.5,2.602689685,1,1,1
131,146,43.95,3.783052624,18,23.25,3.146305132,1,1,1
132,147,23.7,3.165475048,15,13.5,2.602689685,1,1,1
133,148,26.55,3.279029748,15,14.25,2.656756907,0,1,1
134,149,27.6,3.317815773,12,15,2.708050201,1,0,1
135,150,25.8,3.250374492,12,15,2.708050201,1,0,1
136,151,42.3,3.744787086,16,26.25,3.267665989,1,0,3
137,152,30.75,3.425889994,8,15,2.708050201,1,0,2
138,153,26.7,3.284663565,12,12.9,2.557227311,0,0,1
139,154,20.85,3.037353948,12,12,2.48490665,0,0,1
140,155,35.25,3.562465529,15,15,2.708050201,1,1,1
141,156,26.7,3.284663565,15,15,2.708050201,1,1,1
142,157,26.55,3.279029748,12,13.05,2.568788134,0,1,1
143,158,27.75,3.32323584,12,12,2.48490665,0,1,1
144,159,25.05,3.220873828,16,12.75,2.545531272,0,1,1
145,160,66,4.189654742,16,47.49,3.860519163,1,0,3
146,161,52.65,3.963666239,16,19.5,2.970414466,1,0,1
147,162,45.625,3.820455812,16,23.25,3.146305132,1,0,3
148,163,30.9,3.430756184,15,15,2.708050201,1,0,1
149,164,29.4,3.380994674,15,16.5,2.803360381,0,0,1
150,165,33.3,3.505557397,15,13.5,2.602689685,0,0,1
151,166,21.9,3.086486637,12,9.75,2.277267285,0,0,1
152,167,18.15,2.898670561,12,9.75,2.277267285,0,0,1
153,168,46.875,3.847484484,16,17.25,2.847812143,0,0,3
154,169,25.5,3.238678452,12,14.4,2.667228207,1,1,1
155,170,26.55,3.279029748,12,15,2.708050201,1,1,1
156,171,26.7,3.284663565,12,13.5,2.602689685,1,1,1
157,172,29.85,3.39618484,15,15,2.708050201,0,1,1
158,173,69.25,4.237723145,20,42.48,3.749033377,1,0,3
159,174,31.95,3.464172181,8,15,2.708050201,1,0,2
160,175,26.25,3.267665989,8,15.6,2.747270914,1,0,1
161,176,35.7,3.575150689,16,17.25,2.847812143,0,0,1
162,177,28.5,3.349904087,12,16.5,2.803360381,0,0,1
163,178,17.1,2.839078464,12,10.2,2.32238772,0,0,1
164,179,25.2,3.226843995,12,13.05,2.568788134,1,1,1
165,180,24,3.17805383,12,12.75,2.545531272,0,1,1
166,181,27.45,3.312366168,12,10.2,2.32238772,0,1,1
167,182,18.45,2.91506437,12,10.2,2.32238772,0,1,1
168,183,39.3,3.671224519,15,15.75,2.756840365,1,0,1
169,184,38.85,3.659708077,15,15,2.708050201,1,0,1
170,185,30.75,3.425889994,8,15,2.708050201,1,0,2
171,186,37.5,3.624340933,15,20.4,3.015534901,1,0,1
172,187,58.75,4.073291153,16,21.75,3.079613758,1,0,3
173,188,34.5,3.540959324,12,18.75,2.931193752,0,0,1
174,189,36,3.583518938,12,19.98,2.994731773,0,0,1
175,190,29.1,3.370738174,8,16.5,2.803360381,0,0,1
176,191,16.5,2.803360381,12,10.2,2.32238772,0,0,1
177,192,19.65,2.978077338,12,12.75,2.545531272,1,1,1
178,193,24.75,3.208825489,12,12,2.48490665,0,1,1
179,194,27.15,3.301377046,15,15.75,2.756840365,0,1,1
180,195,26.4,3.27336401,12,12.75,2.545531272,0,1,1
181,196,23.1,3.139832618,16,12,2.48490665,0,1,1
182,197,54.9,4.005513349,15,25.5,3.238678452,1,0,3
183,198,70.875,4.260917762,19,43.5,3.772760938,1,0,3
184,199,51.25,3.936715618,16,27.48,3.313458467,1,0,3
185,200,67.5,4.212127598,17,34.98,3.55477647,1,0,3
186,201,29.34,3.378951773,12,19.5,2.970414466,1,0,1
187,202,39.6,3.678829118,15,16.5,2.803360381,1,0,1
188,203,29.1,3.370738174,12,15,2.708050201,1,0,1
189,204,33.15,3.501042717,15,16.5,2.803360381,1,0,1
190,205,66.75,4.200954297,16,52.5,3.96081317,1,0,3
191,206,33.75,3.518980417,12,15,2.708050201,1,0,2
192,207,27.3,3.306886702,15,17.25,2.847812143,1,0,1
193,208,24,3.17805383,12,11.25,2.420368129,0,0,1
194,209,19.8,2.985681938,8,10.2,2.32238772,0,0,1
195,210,30.6,3.421000009,15,16.5,2.803360381,1,1,1
196,211,28.95,3.365570204,15,15,2.708050201,1,1,1
197,212,38.4,3.64805746,15,16.5,2.803360381,1,1,1
198,213,30.75,3.425889994,8,15,2.708050201,1,1,2
199,214,20.4,3.015534901,12,10.95,2.393339456,0,1,1
200,215,19.2,2.954910279,12,11.1,2.406945108,0,1,1
201,216,30.15,3.406184923,15,15.75,2.756840365,1,0,1
202,217,34.62,3.54443155,16,27.75,3.32323584,1,0,1
203,218,80,4.382026635,15,15.75,2.756840365,1,0,1
204,219,25.35,3.23277873,12,15,2.708050201,1,0,1
205,220,29.85,3.39618484,12,15.75,2.756840365,1,0,1
206,221,24,3.17805383,12,13.8,2.624668592,0,0,1
207,222,27.75,3.32323584,15,19.5,2.970414466,0,0,1
208,223,22.35,3.106826321,8,10.2,2.32238772,0,0,1
209,224,16.2,2.785011242,12,10.2,2.32238772,0,0,1
210,225,21.9,3.086486637,15,12.75,2.545531272,0,0,1
211,226,23.25,3.146305132,16,15.75,2.756840365,0,0,1
212,227,33.9,3.523415014,12,12,2.48490665,0,0,1
213,228,25.65,3.244543572,15,14.25,2.656756907,0,0,1
214,229,17.25,2.847812143,12,10.2,2.32238772,0,0,1
215,230,22.5,3.113515309,15,15,2.708050201,1,1,1
216,231,40.2,3.693866996,16,21,3.044522438,1,0,3
217,232,55.5,4.016383021,19,33.75,3.518980417,1,0,3
218,233,26.55,3.279029748,15,15,2.708050201,1,0,1
219,234,50.55,3.922962945,15,19.5,2.970414466,1,0,1
220,235,75,4.317488114,19,31.5,3.449987546,1,0,3
221,236,27.45,3.312366168,8,12,2.48490665,0,0,1
222,237,22.65,3.120159852,12,11.25,2.420368129,0,0,1
223,238,27.3,3.306886702,12,11.25,2.420368129,0,0,1
224,239,27.75,3.32323584,12,11.225,2.418143434,0,0,1
225,240,54.375,3.995904489,16,18.75,2.931193752,0,0,3
226,241,17.4,2.856470206,8,10.2,2.32238772,0,0,1
227,242,40.8,3.708682081,12,18,2.890371758,0,0,1
228,243,23.1,3.139832618,12,10.95,2.393339456,0,0,1
229,244,22.5,3.113515309,8,10.95,2.393339456,0,0,1
230,245,26.7,3.284663565,12,11.55,2.446685437,0,0,1
231,246,24.9,3.214867803,12,11.25,2.420368129,0,0,1
232,247,19.65,2.978077338,12,10.95,2.393339456,0,0,1
233,248,22.05,3.093312602,12,10.95,2.393339456,0,0,1
234,249,25.5,3.238678452,12,12,2.48490665,0,0,1
235,250,28.2,3.339321978,15,12.75,2.545531272,0,0,1
236,251,23.1,3.139832618,12,11.25,2.420368129,0,0,1
237,252,25.5,3.238678452,12,11.4,2.433613355,1,1,1
238,253,17.1,2.839078464,8,10.2,2.32238772,0,1,1
239,254,68.125,4.221344253,18,32.49,3.48093235,1,0,3
240,255,30.6,3.421000009,12,15.75,2.756840365,1,0,2
241,256,52.125,3.95364468,19,27.48,3.313458467,1,0,3
242,257,61.875,4.125116221,19,36.75,3.604138226,1,0,3
243,258,21.3,3.058707073,8,11.55,2.446685437,1,0,1
244,259,19.65,2.978077338,12,11.25,2.420368129,0,0,1
245,260,22.35,3.106826321,12,11.25,2.420368129,0,0,1
246,261,23.4,3.152736022,12,11.25,2.420368129,0,0,1
247,262,24.3,3.19047635,12,10.95,2.393339456,0,0,1
248,263,28.5,3.349904087,12,11.25,2.420368129,0,0,1
249,264,19.95,2.993229143,12,11.25,2.420368129,0,0,1
250,265,23.4,3.152736022,12,11.25,2.420368129,0,0,1
251,266,34.5,3.540959324,16,17.25,2.847812143,0,0,1
252,267,18.15,2.898670561,12,10.95,2.393339456,0,0,1
253,268,22.35,3.106826321,12,15,2.708050201,1,1,1
254,269,40.2,3.693866996,15,17.25,2.847812143,1,0,1
255,270,28.65,3.355153443,15,18,2.890371758,1,0,1
256,271,27.75,3.32323584,15,16.5,2.803360381,1,0,1
257,272,66.875,4.202825205,18,31.98,3.465110707,1,0,1
258,273,30,3.401197382,12,15.75,2.756840365,1,0,2
259,274,83.75,4.427836171,16,21.75,3.079613758,1,0,3
260,275,33.9,3.523415014,12,16.5,2.803360381,1,0,1
261,276,56.5,4.034240638,16,21,3.044522438,1,0,3
262,277,43,3.761200116,16,17.49,2.861629289,0,0,3
263,278,20.85,3.037353948,8,12,2.48490665,0,0,1
264,279,24.45,3.196630216,12,12,2.48490665,0,0,1
265,280,24.75,3.208825489,12,10.95,2.393339456,0,0,1
266,281,34.5,3.540959324,8,15.75,2.756840365,1,1,2
267,282,27.9,3.328626689,14,15,2.708050201,1,1,1
268,283,68.125,4.221344253,19,32.01,3.466048354,1,0,3
269,284,73.5,4.297285406,19,33,3.496507561,1,0,3
270,285,30.75,3.425889994,8,15.75,2.756840365,1,0,2
271,286,40.05,3.690128674,15,25.5,3.238678452,1,0,3
272,287,40.35,3.697591395,16,19.5,2.970414466,1,0,1
273,288,38.7,3.6558396,15,23.73,3.16674007,1,0,3
274,289,65,4.17438727,17,30.75,3.425889994,1,0,3
275,290,51.45,3.940610462,18,36.24,3.590163481,1,0,3
276,291,35.25,3.562465529,12,15.75,2.756840365,1,0,2
277,292,25.95,3.25617161,14,15,2.708050201,1,0,1
278,293,25.05,3.220873828,15,14.25,2.656756907,1,0,1
279,294,26.7,3.284663565,12,12.75,2.545531272,1,0,1
280,295,24,3.17805383,8,15.75,2.756840365,1,0,1
281,296,26.85,3.290265821,12,15,2.708050201,1,0,1
282,297,23.4,3.152736022,12,15.3,2.727852828,0,0,1
283,298,24.6,3.202746443,12,13.5,2.602689685,0,0,1
284,299,32.55,3.482777369,15,18,2.890371758,0,0,1
285,300,26.55,3.279029748,16,15,2.708050201,1,1,1
286,301,31.5,3.449987546,12,13.5,2.602689685,1,1,1
287,302,22.35,3.106826321,8,15,2.708050201,1,1,1
288,303,35.25,3.562465529,12,15.75,2.756840365,1,1,2
289,304,25.8,3.250374492,15,13.5,2.602689685,0,1,1
290,305,30.75,3.425889994,12,15.75,2.756840365,1,0,2
291,306,30.75,3.425889994,15,16.5,2.803360381,1,0,1
292,307,50,3.912023005,16,32.49,3.48093235,1,0,3
293,308,34.5,3.540959324,15,18,2.890371758,1,0,1
294,309,26.25,3.267665989,15,15.75,2.756840365,1,0,1
295,310,44.875,3.803880847,16,21.24,3.055886196,1,0,1
296,311,22.5,3.113515309,12,12,2.48490665,0,0,1
297,312,25.65,3.244543572,12,14.25,2.656756907,0,0,1
298,313,21.3,3.058707073,12,11.25,2.420368129,0,0,1
299,314,29.85,3.39618484,12,13.5,2.602689685,0,0,1
300,315,34.5,3.540959324,12,12.15,2.49732917,0,0,1
301,316,27.75,3.32323584,15,15,2.708050201,1,1,1
302,317,27.75,3.32323584,12,11.55,2.446685437,1,1,1
303,318,48.75,3.886705197,16,21.99,3.090587805,1,0,3
304,319,43.41,3.770689829,15,15.75,2.756840365,1,0,1
305,320,22.05,3.093312602,12,15,2.708050201,1,0,1
306,321,22.05,3.093312602,12,12,2.48490665,0,0,1
307,322,22.5,3.113515309,12,14.25,2.656756907,0,0,1
308,323,25.5,3.238678452,15,12,2.48490665,0,0,1
309,324,29.16,3.372797907,12,15,2.708050201,0,0,1
310,325,16.8,2.821378886,8,10.2,2.32238772,0,0,1
311,326,29.55,3.386083744,8,15.75,2.756840365,1,1,2
312,327,26.7,3.284663565,12,15.75,2.756840365,1,1,1
313,328,55,4.007333185,18,32.49,3.48093235,1,0,3
314,329,62.5,4.135166557,18,34.98,3.55477647,1,0,3
315,330,27.3,3.306886702,15,17.25,2.847812143,1,0,1
316,331,24.45,3.196630216,12,12,2.48490665,0,0,1
317,332,33,3.496507561,16,18,2.890371758,0,0,1
318,333,37.05,3.612268352,15,18,2.890371758,0,0,1
319,334,24.45,3.196630216,12,10.95,2.393339456,0,1,1
320,335,31.95,3.464172181,8,15.75,2.756840365,1,0,2
321,336,47.25,3.855452654,16,21.24,3.055886196,1,0,3
322,337,26.1,3.261935314,12,11.55,2.446685437,0,0,1
323,338,15.9,2.766319109,8,10.2,2.32238772,0,0,1
324,339,23.7,3.165475048,8,10.65,2.365559892,0,0,1
325,340,21.75,3.079613758,8,12.45,2.521720623,0,0,1
326,341,59.4,4.084294226,12,33.75,3.518980417,1,1,3
327,342,24.45,3.196630216,12,14.25,2.656756907,0,1,1
328,343,103.5,4.639571613,16,60,4.094344562,1,0,3
329,344,35.7,3.575150689,12,16.5,2.803360381,1,0,1
330,345,22.2,3.100092289,12,16.5,2.803360381,0,0,1
331,346,22.95,3.133317937,15,13.95,2.635479508,0,0,1
332,347,23.1,3.139832618,12,12,2.48490665,0,0,1
333,348,56.75,4.038655656,16,30,3.401197382,0,0,3
334,349,29.1,3.370738174,17,12.75,2.545531272,0,0,1
335,350,37.65,3.628332954,12,15.75,2.756840365,0,0,1
336,351,27.9,3.328626689,12,13.5,2.602689685,0,0,1
337,352,21.15,3.051639905,8,12,2.48490665,0,0,1
338,353,31.2,3.440418095,12,15.75,2.756840365,1,1,2
339,354,20.55,3.022860941,12,11.25,2.420368129,0,1,1
340,355,25.95,3.25617161,15,17.25,2.847812143,1,0,1
341,356,28.35,3.34462703,15,15,2.708050201,1,0,1
342,357,17.7,2.87356464,8,10.2,2.32238772,0,0,1
343,358,23.55,3.15912582,15,13.5,2.602689685,0,0,1
344,359,19.95,2.993229143,12,10.2,2.32238772,0,0,1
345,360,29.4,3.380994674,12,15.3,2.727852828,0,0,1
346,361,28.8,3.360375387,12,13.95,2.635479508,0,0,1
347,362,16.95,2.830267834,8,10.2,2.32238772,0,0,1
348,363,35.7,3.575150689,16,18,2.890371758,1,1,1
349,364,17.4,2.856470206,12,10.2,2.32238772,0,1,1
350,365,21.45,3.065724645,8,10.2,2.32238772,0,1,1
351,366,24.75,3.208825489,12,12,2.48490665,0,1,1
352,367,16.95,2.830267834,12,10.2,2.32238772,0,1,1
353,368,26.1,3.261935314,12,13.5,2.602689685,0,1,1
354,369,28.05,3.333988632,14,15,2.708050201,1,0,1
355,370,36.6,3.60004824,16,18,2.890371758,0,0,1
356,371,58.125,4.062595864,16,18,2.890371758,0,0,3
357,372,21.3,3.058707073,15,15.75,2.756840365,1,0,1
358,373,22.5,3.113515309,12,16.5,2.803360381,1,0,1
359,374,29.4,3.380994674,15,15.75,2.756840365,1,0,1
360,375,27.45,3.312366168,12,14.7,2.687847494,1,0,1
361,376,29.85,3.39618484,15,15.75,2.756840365,1,0,1
362,377,25.35,3.23277873,15,15.75,2.756840365,1,0,1
363,378,15.75,2.756840365,8,10.2,2.32238772,0,0,1
364,379,19.65,2.978077338,8,13.05,2.568788134,0,0,1
365,380,21,3.044522438,12,13.5,2.602689685,0,0,1
366,381,27,3.295836866,17,18,2.890371758,1,1,1
367,382,24,3.17805383,12,15.75,2.756840365,1,1,1
368,383,78.5,4.363098625,17,28.74,3.358289881,1,1,3
369,384,20.85,3.037353948,12,13.05,2.568788134,0,1,1
370,385,30,3.401197382,12,15.75,2.756840365,1,0,2
371,386,28.5,3.349904087,8,15.75,2.756840365,1,0,2
372,387,65,4.17438727,19,31.98,3.465110707,1,0,3
373,388,30.15,3.406184923,14,16.5,2.803360381,1,0,1
374,389,66.875,4.202825205,19,32.49,3.48093235,1,0,3
375,390,24.15,3.18428438,15,13.5,2.602689685,0,0,1
376,391,24.45,3.196630216,12,12.45,2.521720623,0,0,1
377,392,21.6,3.072693315,12,12,2.48490665,0,0,1
378,393,27.9,3.328626689,12,12.45,2.521720623,0,0,1
379,394,29.1,3.370738174,8,12.45,2.521720623,0,0,1
380,395,22.65,3.120159852,12,11.25,2.420368129,0,0,1
381,396,20.85,3.037353948,12,11.25,2.420368129,0,0,1
382,397,22.95,3.133317937,12,12.3,2.509599262,0,0,1
383,398,30.6,3.421000009,12,12.45,2.521720623,0,0,1
384,399,20.4,3.015534901,12,11.25,2.420368129,0,0,1
385,400,23.85,3.171784217,12,12.75,2.545531272,0,0,1
386,401,22.8,3.126760536,12,11.25,2.420368129,0,0,1
387,402,20.7,3.0301337,12,11.25,2.420368129,0,0,1
388,403,21.3,3.058707073,12,11.25,2.420368129,0,1,1
389,404,24.3,3.19047635,12,15,2.708050201,0,1,1
390,405,19.65,2.978077338,12,13.95,2.635479508,0,1,1
391,406,60,4.094344562,17,32.49,3.48093235,1,0,3
392,407,30.3,3.411147713,15,15.75,2.756840365,1,0,1
393,408,61.25,4.114963849,19,33,3.496507561,1,0,3
394,409,36,3.583518938,19,19.5,2.970414466,1,0,1
395,410,25.2,3.226843995,8,18.75,2.931193752,0,0,1
396,411,16.2,2.785011242,12,10.2,2.32238772,0,0,1
397,412,22.8,3.126760536,12,11.25,2.420368129,0,0,1
398,413,43.5,3.772760938,16,19.5,2.970414466,0,0,3
399,414,30.3,3.411147713,8,15.75,2.756840365,1,1,2
400,415,31.95,3.464172181,15,15.75,2.756840365,1,1,1
401,416,35.25,3.562465529,15,13.5,2.602689685,1,0,1
402,417,37.8,3.632309103,15,15,2.708050201,1,0,1
403,418,31.2,3.440418095,15,15.75,2.756840365,1,0,1
404,419,29.4,3.380994674,15,16.5,2.803360381,1,0,1
405,420,70,4.248495242,19,35.04,3.556490266,1,0,3
406,421,33.9,3.523415014,15,15.75,2.756840365,1,0,1
407,422,27.15,3.301377046,15,16.5,2.803360381,1,0,1
408,423,22.2,3.100092289,12,13.8,2.624668592,0,0,1
409,424,31.35,3.445214267,15,11.1,2.406945108,0,0,1
410,425,20.85,3.037353948,12,13.5,2.602689685,0,0,1
411,426,33.3,3.505557397,16,17.49,2.861629289,1,1,1
412,427,26.25,3.267665989,8,16.05,2.77570885,1,1,1
413,428,31.95,3.464172181,15,15.75,2.756840365,1,1,1
414,429,30,3.401197382,8,15.75,2.756840365,1,1,2
415,430,66.25,4.193435465,19,34.98,3.55477647,1,1,3
416,431,86.25,4.457250056,18,45,3.80666249,1,0,3
417,432,30.75,3.425889994,12,15,2.708050201,1,0,1
418,433,33.54,3.512738756,12,15.75,2.756840365,1,0,1
419,434,34.95,3.553918469,16,20.25,3.008154794,1,0,1
420,435,40.35,3.697591395,15,16.5,2.803360381,1,0,1
421,436,30.27,3.410157123,12,15.75,2.756840365,1,0,1
422,437,26.25,3.267665989,8,16.05,2.77570885,1,0,1
423,438,32.4,3.478158423,15,15,2.708050201,1,0,1
424,439,20.4,3.015534901,12,11.25,2.420368129,0,0,1
425,440,24.15,3.18428438,8,12.75,2.545531272,0,0,1
426,441,23.85,3.171784217,15,13.5,2.602689685,0,0,1
427,442,29.7,3.391147046,12,13.5,2.602689685,0,0,1
428,443,21.6,3.072693315,8,13.5,2.602689685,0,0,1
429,444,24.45,3.196630216,12,15.75,2.756840365,0,0,1
430,445,28.05,3.333988632,15,16.5,2.803360381,1,1,1
431,446,100,4.605170186,16,44.1,3.786459782,1,1,3
432,447,49,3.891820298,15,20.55,3.022860941,1,1,1
433,448,16.35,2.794227897,12,10.2,2.32238772,0,1,1
434,449,70,4.248495242,16,21.75,3.079613758,1,0,3
435,450,55,4.007333185,19,34.98,3.55477647,1,0,3
436,451,28.5,3.349904087,15,14.25,2.656756907,1,0,1
437,452,28.8,3.360375387,12,18,2.890371758,1,0,1
438,453,24.45,3.196630216,15,15.75,2.756840365,1,0,1
439,454,90.625,4.506730113,19,31.25,3.442019376,1,0,3
440,455,43.65,3.776203282,16,19.5,2.970414466,1,0,3
441,456,75,4.317488114,19,42.51,3.749739342,1,0,3
442,457,31.65,3.454738149,15,14.25,2.656756907,1,0,1
443,458,61.875,4.125116221,19,28.74,3.358289881,1,0,3
444,459,21.75,3.079613758,12,11.25,2.420368129,0,0,1
